pmid,gene1,gene2,sentence,class,details
2928331,c-fos,SRF,"We conclude that band I in neonates represents a SRE-binding factor that is distinct from the SRF, which may be responsible for the neonatal induction of the c-fos gene.",TP,database
3119326,c-fos,SRF,"A short DNA sequence element, the serum response element (SRE), which binds a nuclear protein, serum response factor (SRF), mediates transient transcriptional activation of c-fos and cytoskeletal actin genes in response to serum factors.",TP,database
7559553,c-myb,WT1,We conclude that WT1 is a negative regulator of c-myb expression in both T and B cell lines,TP,database
7576299,p53,Fos,These data suggest the possibility of down regulation of Fos expression by high levels of p53 protein.,TP,database
7605217,c-myc,c-fos,"Expression of c-fos was revealed in 79 of 138(59.4%) of proliferative and dysplastic changes of lung epithelium; c-jun in 40 of 61 (65.6%), c-ets-1 in 22 of 41 (53.7%), c-myc in 41 of 96(42.7%) and L-myc in 15 of 61 (24.6%), mainly in altered bronchial epithelium with a positive reaction to the antibodies against neuron specific enolase and S100 protein.",TP,database
7677767,DAX-1,SF-1,This suggests that SF-1 may directly regulate the expression of DAX-1 and that these two transcription factors may be components of a cascade required for development of steroidogenic tissues.,TP,database
7678994,tal-1,GATA-1,"Altogether our results strongly suggest that GATA-1 modulates the transcription of tal-1 during the differentiation of the erythroid, megakaryocytic, and basosophilic lineages.",TP,database
7683227,c-myc,C-jun,This was temporally associated with a marked induction of C-jun expression but a significant repression in BCL-2 and c-myc expressions.,TP,database
7753559,c-myc,Sp1,"In addition, enforced expression of Sp3 repressed Sp1-mediated activation of c-myc.",TP,database
7753559,E2F-1,Sp3,In contrast enforced expression of Sp3 fails to repress E2F-1/DP-1-mediated activation,TP,database
7794791,c-myc,transcription factor E2F,A direct role of transcription factor E2F in c-myc gene expression during granulocytic and macrophage-like differentiation of HL60 cells.,TP,database
7926759,rel,NF-kappa B,"As documented in the accompanying paper (Klug et al., this issue), an active v-abl protein also suppresses the activity of NF-kappa B/rel and expression controlled by the kappa intron enhancer.",TP,database
7969121,p53,c-Myc,"Taken together, our findings support a direct role for c-Myc in elevating expression of the mutant p53 gene in some tumors",TP,database
8051093,p53,NF-kappa B,"Thus, we show that NF-kappa B activates p53 and that this activation is inducible by TNF-alpha.",TP,database
8099529,c-myc,c-fos,"Expression of the c-fos protein was seen in 66% of the tumors; expression of the c-myc protein, in 50%; of the c-K-ras protein, in 16%; of the EGF-R protein, in 61%; and of the c-neu protein, in 54% of the tumors.",TP,database
8104920,p53,c-myc,"Amplification of c-erbB-2, c-myc, and int-2, and expression of RB, p53(mutant), and NDP kinase were determined in 77 primary breast cancer specimens.",TP,database
8152906,p53,c-myc,No down-regulation of c-myc was observed in p53 expressing clones when shifted to the permissive temperature.,TP,database
8203922,p53,c-myc,"Among the squamous cell carcinoma cases, there were one case (11%) of c-myc expression and one case (11%) of p53 expression.",TP,database
8246997,Rel,NF-kappa B,"Taken together with prior in vivo transcription studies, these results suggest that the biological activities of p65 and p50 homodimers are independently regulated, thereby providing an integrated and flexible control mechanism for the rapid activation and repression of NF-kappa B/Rel-directed gene expression",TP,database
8264230,p53,JUN,"CONCLUSIONS: We conclude that independent expression of RAS, JUN, and FOS occurred significantly more often in large tubulovillous adenomas and adenocarcinomas while p53 expression occurred primarily in adenocarcinomas.",TP,database
8266081,c-fos,Yin-Yang-1,"Yin-Yang-1 (YY1) regulates the transcription of many genes, including the oncogenes c-fos and c-myc.",TP,database
8266081,c-fos,YY1,"Yin-Yang-1 (YY1) regulates the transcription of many genes, including the oncogenes c-fos and c-myc.",TP,database
8352966,rel,NF-kappa B,Regulation of the NF-kappa B/rel transcription factor and I kappa B inhibitor system.,TP,database
8460477,p53,c-Myc,"We conclude that c-Myc is regulated at the transcriptional level, whereas p53 is regulated at the post-translational level in adenovirus transformants",TP,database
8521821,p53,PAX5,We have identified a direct role for PAX5 in the control of p53 transcription.,TP,database
8524298,p53,c-Fos,The data suggest that c-Fos protein plays a causal role in the activation of apoptosis in a p53-dependent manner.,TP,database
8714126,p53,AP-1,Transcription factors C-EBP and AP-1 modulate the promotor activity of the regulatory region of human p53 gene,TP,database
8817002,p53,c-fos,"In this study we determined whether the repression of c-fos at M1 was downstream of the p53 or pRB-like ""arms"" of the M1 mechanism.",TP,database
8844723,c-myc,MAZ,The MAZ protein has been shown to be a transcription regulator of the c-myc protooncogene.,TP,database
8844723,c-myc,MAZ,These findings are consistent with the established role for MAZ in regulating c-myc gene expression.,TP,database
8845569,p53,c-myc,"The high levels of c-myc transcripts and protein could regulate myeloma cell proliferation and apoptotic death by controlling p53 expression and, through it, the expression of the Rb and BAX genes.",TP,database
8961277,p53,c-Myc,c-Myc is capable of abrogating p53-induced G1 arrest by interfering with the inhibitory action of p21 on cyclin-dependent kinases.,TP,database
9020185,TAL1,GATA3,"In this context, we carried out preliminary evaluation of a potential role of the T cell-specific GATA-binding protein, GATA3, in the transcriptional activity of TAL1 and RBTN.",TP,database
9108200,p53,c-fos,"In other tissues, e.g. muscle and bone, c-fos was found together with p53, suggesting an antagonistic action of these proliferative and antiproliferative factors.",TP,database
9140044,c-Fos,CREB,"Activation of the adenylate cyclase-coupled V2R in LLC-PK1 cells induced phosphorylation of adenosine 3',5'-cyclic monophosphate (cAMP) responsive element binding protein (CREB) and expression of c-Fos.",TP,database
9174110,p53,c-myc,Northern blot analysis indicated that the c-myc overexpression is concomitant to DRB-induced DNA fragmentation and that the increased mp53 protein level was mainly a posttranscriptional event.,TP,database
9294605,c-myc,MAZ,"In addition, an electrophoretic mobility shift assay (EMSA) with ME1a1 DNA as probe demonstrated that the kinetics of the DNA-binding activity of MAZ were closely correlated with the changes in the expression of CAT from the c-myc promoter/CAT gene during the differentiation of P19EC cells.",TP,database
9298807,p53,c-myc,Her-2/neu overexpression is not characteristic of this sequence; c-myc amplification/overexpression is common to both p53-associated sequences.,TP,database
9417120,IkappaBalpha,RelA,Discrimination between RelA and RelB transcriptional regulation by a dominant negative mutant of IkappaBalpha.,TP,database
9570134,Mash1,HES1,"Conversely, null mutation of HES1 up-regulates Mash1 expression, accelerates neuronal differentiation, and causes severe defects of the brain and eyes.",TP,database
9632756,p53,c-myc,Activation of c-myc gene expression by tumor-derived p53 mutants requires a discrete C-terminal domain.,TP,database
9642304,c-myc,c-fos,Induction of c-fos/c-myc expression by epidermal growth factor decreases with alteration of their gene binding proteins in senescent fibroblasts.,TP,database
9642304,c-myc,c-fos,METHODS: The c-fos/c-myc expression were analysed by Northern blot.,TP,database
9642304,c-myc,c-fos,OBJECTIVE: To observe the changes of proto-oncogene c-fos/c-myc expression and its relation to specific transcription factors in human senescent fibroblast after epidermal growth factor (EGF) addition.,TP,database
9674700,p53,c-Myc,"Among the target genes for c-Myc regulation are ECA39, p53, ornithine decarboxylase (ODC), alpha-prothymosin and Cdc25A.",TP,database
9703973,p73L,p53,"We have cloned a second human p53-related gene, termed p73L, which shows strong amino-acid similarity to p73.",TP,database
9727009,IkappaBalpha,NFkappaB,Nuclear factor kappaB (NFkappaB) is a ubiquitously expressed transcription factor that is regulated by the cytoplasmic inhibitor protein IkappaBalpha.,TP,database
9734357,c-fos,SAP-1,SAP-1 is a member of the Ets transcription factors and cooperates with SRF protein to activate transcription of the c-fos protooncogene.,TP,database
9774636,p53,Sp1,Sp1-mediated transcription of the Werner helicase gene is modulated by Rb and p53.,TP,database
9867825,FREAC-4,Ets-1,These results are compatible with the hypothesis that Ets-1 acts as an upstream regulator of FREAC-4 expression during kidney development,TP,database
9916932,WT1,PAX2,We suggest that persistent expression of PAX2 is likely to result from the loss of WT1 dependent transcriptional repression and may participate in the pathological mechanisms leading to glomerular dysfunction.,TP,database
10037138,c-myc,CTCF,CTCF is a transcriptional repressor of the c-myc gene.,TP,database
10080941,c-myc,Tcf4,"The elevated levels of Tcf4:beta-catenin result in increased transcription of genes, including c-myc, important for the growth of these tumor cells.",TP,database
10207112,p73,p53,"We could not detect significant inhibition of p53 functions by E4orf6, but a clear repression of the transcription activation by p73 by this Ad early protein was observed.",TP,database
10209447,p53,c-myc,There was no evidence to suggest that c-myc was modulated by upregulation of Bcl-2 or p53 inactivation/mutation.,TP,database
10220381,AP-1,Smad3,"Providing evidence for the importance of this interaction between Smad and Jun proteins, we demonstrate that Smad3 is required for the activation of concatamerized AP-1 sites in a reporter construct that has previously been characterized as unable to bind Smad proteins directly.",TP,database
10344761,RAR-beta,RAR-alpha,"The expression of RAR-alpha and RAR-gamma remains positive in HEC specimens, but RAR-beta expression was detected in only 6 of 20 HEC specimens.",TP,database
10361124,RAR,Sp1,"Furthermore, gel shift studies showed that the binding of Sp1 to the uPA GC box is significantly potentiated in the presence of RARs/RXRs.",TP,database
10409681,IkappaBalpha,NFkappaB,"Activation of the transcription factor NFkappaB requires rapid degradation of its inhibitor, IkappaBalpha.",TP,database
10409739,PPARgamma,SREBP-2,The related transcription factor SREBP-2 likewise induced PPARgamma expression.,TP,database
10446902,DAX-1,SF-1,"With respect to implication of Ad4BP/SF-1 in the transcriptional regulation of the DAX-1 gene, inconsistent findings have been previously reported.",TP,database
10448092,c-myc,MAZ,"Moreover, the mutated MAZ was unable to enhance the expression of luciferase encoded by a c-myc promoter/luciferase reporter gene in HeLa cells in the presence of CKII.",TP,database
10469295,p73,p53,"The p53-like genes, p73 and the several KET splicing variants, are recently described genes of uncertain biologic and pathologic significance.",TP,database
10469295,KET,p53,"The p53-like genes, p73 and the several KET splicing variants, are recently described genes of uncertain biologic and pathologic significance.",TP,database
10536986,MITF,PAX3,"By analyzing the genes for Waardenburg syndrome, we showed that PAX3, the gene responsible for Waardenburg syndrome type 1, regulates MITF, the gene responsible for Waardenburg syndrome type 2.",TP,database
10629053,RARbeta,COUP-TF,"In a transient transfection assay, COUP-TF strongly induced transcriptional activity of the RARbeta promoter in a RA- and RARalpha-dependent manner.",TP,database
10629053,RARbeta,COUP-TF,"In this study, we provide evidence that orphan receptor COUP-TF is required for induction of RARbeta expression, growth inhibition, and apoptosis by RA in cancer cells.",TP,database
10629053,RARbeta,RARalpha,"These results demonstrate that COUP-TF, by serving as an accessory protein for RARalpha to induce RARbeta expression, plays a critical role in regulating the anticancer activities of retinoids",TP,database
10629053,RARbeta,COUP-TF,"These results demonstrate that COUP-TF, by serving as an accessory protein for RARalpha to induce RARbeta expression, plays a critical role in regulating the anticancer activities of retinoids",TP,database
10637430,p73,p53,"The p53-related genes, p51/p63 and p73, have been isolated respectively from cDNA libraries of skeletal muscle and the brain, and their structural features and biological functions have been compared.",TP,database
10637430,p51,p53,"The p53-related genes, p51/p63 and p73, have been isolated respectively from cDNA libraries of skeletal muscle and the brain, and their structural features and biological functions have been compared.",TP,database
10637430,p63,p53,"The p53-related genes, p51/p63 and p73, have been isolated respectively from cDNA libraries of skeletal muscle and the brain, and their structural features and biological functions have been compared.",TP,database
10639331,fra-1,c-fos,"Moreover, induction of c-fos resulted in the concomitant increase in the expression of fra-1 and c-jun, further highlighting the importance of AP-1 transcription factors in chondrocyte differentiation.",TP,database
10644012,MITF,Pax3,Pax3 transcription factor was reported earlier to regulate positively the melanocyte-specific promoter of the MITF gene.,TP,database
10644012,MITF,Pax3,"This suggests that additional factors, besides Pax3, are required for the MITF expression.",TP,database
10684280,Rel,NFkappaB,"To date, several approaches attempting to correlate Tax activation of the CREB/activating transcription factor (ATF) or NFkappaB/Rel transcriptional activation pathway to cellular transformation have yielded conflicting results.",TP,database
10698490,p53,NF-kappaB,A Western blot analysis of nuclear extracts demonstrated that NF-kappaB protein levels in the nuclei were suppressed by the transient expression of the wt-p53 in a dose-dependent manner.,TP,database
10766163,p53,ERalpha,Our results indicate that ERalpha protects p53 from being deactivated by hdm2.,TP,database
10773878,p73,p53,"In reminiscence of the dominant negative phenotype of the N-terminal truncated variants of another p53-related gene, p63, the expression of the truncated p73 variant form in ovarian tumors may play an important role in the pathogenesis of ovarian cancer",TP,database
10773878,p63,p53,"In reminiscence of the dominant negative phenotype of the N-terminal truncated variants of another p53-related gene, p63, the expression of the truncated p73 variant form in ovarian tumors may play an important role in the pathogenesis of ovarian cancer",TP,database
10774739,Mash1,Hes1,"Hes1 encodes a basic helix-loop-helix (bHLH) transcriptional repressor and functionally antagonizes positive bHLH genes such as the neuronal determination gene, Mash1.",TP,database
10779353,Myc,E2F1,"Based on these results and past experiments, it appears that the E2F1, E2F2, and E2F3a genes are similarly regulated by growth stimulation, involving a combination of E2F-dependent negative control and Myc-mediated positive control.",TP,database
10782404,RAR-gamma,RAR-alpha,These results suggest that partial loss and abnormal localization of RAR-alpha expression as well as increased RAR-gamma expression may play a role in the etiology of non-neoplastic epithelial disorders of the vulva,TP,database
10822369,p53,c-Myc,c-Myc antagonizes the effect of p53 on apoptosis and p21WAF1 transactivation in K562 leukemia cells.,TP,database
10822369,p53,c-Myc,"Expression of c-Myc significantly attenuated apoptosis and impaired the transcriptional activity of p53 on p21WAF1, Bax and cytomegalovirus promoters.",TP,database
10938265,MITF,SOX10,"Finally, we show that three SOX10 mutations found in WS4 abolish the transcriptional activity of the resulting Sox10 proteins toward the MITF promoter.",TP,database
10938265,MITF,WS4,"Finally, we show that three SOX10 mutations found in WS4 abolish the transcriptional activity of the resulting Sox10 proteins toward the MITF promoter.",TP,database
10938265,MITF,Pax3,"WS1 and WS3 are caused by mutation in the gene encoding the transcription factor Pax3, which regulates MITF expression.",TP,database
10995748,c-Jun,Smad3,Structural and functional characterization of the transforming growth factor-beta -induced Smad3/c-Jun transcriptional cooperativity.,TP,database
11034215,p73,E2F-1,Here we show that E2F-1 induces the transcription of the p53 homologue p73.,TP,database
11101847,TP73,E2F1,"Here we provide evidence that E2F1 directly activates transcription of TP73, leading to activation of p53-responsive target genes and apoptosis.",TP,database
11121417,Elk-1,early growth response-1,Induction of early growth response-1 gene expression by calmodulin antagonist trifluoperazine through the activation of Elk-1 in human fibrosarcoma HT1080 cells.,TP,database
11121417,Elk-1,Egr-1,We propose that the calmodulin antagonist TFP stimulates Egr-1 gene expression by modulating Ras/MEK/Erk and activation of the Elk-1 pathway in human fibrosarcoma HT1080 cells,TP,database
11222729,IRF-7,IRF-3,"While the expression of IRF-3 alone was shown to be sufficient for induction of the IFNB gene, induction of all the IFNA subtypes in human cells required the presence of IRF-7.",TP,database
11238924,p73,p53,"The p53 protein is related by sequence homology and function to the products of two other genes, p63 and p73, that each encode several isoforms.",TP,database
11323086,MODY,HNF-6,We screened HNF-6 gene for mutations in 34 Japanese subjects with MODY/early-onset diabetes mellitus and 56 subjects with late-onset diabetes mellitus.,TP,database
11327702,p73,p53,"Here, we describe the relation between Wnt/beta-catenin signaling and the p53-related gene p73.",TP,database
11420680,p53,NF-YA,Transcription factors Oct-1 and NF-YA regulate the p53-independent induction of the GADD45 following DNA damage.,TP,database
11454424,P53,C-MYC,C-MYC gene amplification and loss of the P53 gene could be ruled out by locus-specific probes for the common gain of 8q and for losses of 17p.,TP,database
11591705,Rel,NF-kappa B,There are increasing lines of evidence that NF-kappa B/Rel activity is controlled to a great extent by its phosphorylation state.,TP,database
11593387,p63,p53,"In addition to transcription activation of p53-responsive genes, we found that p63 and p73 repress transcription of the cdk1 and cyclin B genes, both of which are irreversibly repressed in senescent human fibroblast.",TP,database
11777933,c-myc,Myc-associated zinc finger protein,A Myc-associated zinc finger protein-related factor binding site is required for the deregulation of c-myc expression by the immunoglobulin heavy chain gene enhancers in Burkitt's lymphoma.,TP,database
11827262,IkappaBalpha,NFkappaB,"Additionally, we found that the inhibition of NFkappaB by Adv-SR-IkappaBalpha enhanced TNF-mediated caspase-8 and -3 activation.",TP,database
11844800,p73,p53,"Because inhibition of p53 is a common theme in human cancer, our data strongly support a role of DeltaTA-p73 expression for tumor formation",TP,database
11845301,IkappaBalpha,NFkappaB,"Evidence suggests that activation of the nuclear factor kappa B (NFkappaB), which regulates the inflammatory gene transcription, depends on the degradation of the inhibitory factor IkappaBalpha.",TP,database
11893750,p63,p53,Physical interaction with human tumor-derived p53 mutants inhibits p63 activities.,TP,database
11948912,GLI1,Twist,Twist activates GLI1 reporter expression through E-box +482 but requires binding of USF proteins to E-box +157.,TP,database
12080043,Y-box-binding protein-1,c-Myc,p73 Interacts with c-Myc to regulate Y-box-binding protein-1 expression.,TP,database
12101410,p73,p53,"p53 induces the expression of its antagonist p73 Delta N, establishing an autoregulatory feedback loop.",TP,database
12133541,p53,c-myc,"The effect of the AGP at the molecular level was associated with the low protein expression of the c-myc and bcl-2 genes and the high protein expression of the p53, bax, fas and fas-L genes, as well as the cell factor TGF beta(1).",TP,database
12409228,RARbeta,RARalpha,Overexpression of VPAC1 in SKNSH cells resulted in upregulation of endogenous retinoic acid receptor expression for both RARalpha and RXRalpha with no change in expression of RARbeta.,TP,database
12490973,p53,ESR,"LOH was determined by polymerase chain reaction (PCR) using primers TP53, D3S1038, D17S855, and ESR for p53, VHL, BRCA1, and ER genes, respectively.",TP,database
12554770,RARbeta,RARalpha,"We report here that the three RAR isotypes display different transcriptional properties in the absence of hormone ligand; under these conditions, RARalpha is a strong repressor of target gene expression, whereas both RARbeta and RARgamma fail to repress and instead are able to mediate substantial levels of hormone-independent transcriptional activation.",TP,database
12591729,c-myc,TCF-4,"When TCF-4 was bound to this element, TGF-beta dissociated beta-catenin and repressed the transcriptional activity of the c-myc promoter.",TP,database
12637327,c-Myc,Stat1,"Ser727/Tyr701-phosphorylated Stat1 is required for the regulation of c-Myc, cyclins, and p27Kip1 associated with ATRA-induced G0/G1 arrest of U-937 cells.",TP,database
12663663,IkappaBalpha,RelA,RelA control of IkappaBalpha phosphorylation: a positive feedback loop for high affinity NF-kappaB complexes.,TP,database
12697323,HOXB7,Sp1,"Cell transfection and site-specific mutagenesis demonstrated Sp1/Sp3, NF-Y, YY1 and USF-1 binding to be functional and fundamental in driving HOXB7 expression.",TP,database
12697323,HOXB7,Sp3,"Cell transfection and site-specific mutagenesis demonstrated Sp1/Sp3, NF-Y, YY1 and USF-1 binding to be functional and fundamental in driving HOXB7 expression.",TP,database
12713689,c-myc,c-fos,"The expression of the c-fos, H-ras and c-myc genes was immunohistochemically determined in biopsies from 12 patients with dilated cardiomyopathy, 24 patients with hypertrophic cardiomyopathy, and 4 patients with myocarditis.",TP,database
12716888,TP73,TP53,"Although the TP53 gene is frequently mutated in human cancers, the TP73 gene is rarely inactivated.",TP,database
12743820,Rel,NFkappaB,"For example, humans have two NFkappaB genes, three Rel genes, and five NFAT genes, while Ciona has one gene for each family.",TP,database
12748190,p53,c-Myc,Overexpressed c-Myc reduced the transcription of p21/CDKN1A and impaired p53-mediated repression but did not abolish repression by ectopic p21.,TP,database
12761493,p73,p53,"The newly identified p53-related gene, p73, encodes a nuclear transcription factor.",TP,database
12944398,microphthalmia-associated transcription factor,SOX10,A tissue-restricted cAMP transcriptional response: SOX10 modulates alpha-melanocyte-stimulating hormone-triggered expression of microphthalmia-associated transcription factor in melanocytes.,TP,database
14503807,c-myc,CTCF,The CTCF gene encodes for a transcriptional repressor of the c-myc oncogene and has previously been mapped to one of the smallest regions of overlapping interstitial deletions on chromosome 16q22.1 in invasive breast cancer.,TP,database
14513581,p53,c-myc,RESULTS: A high telomerase activity existed in lower differentiated tongue cancer (P < 0.05); the positive expression of c-myc increased significantly in lower grade tongue cancer (P < 0.05) and the positive expression of p53 decreased increasingly in tongue cancer accompanied with lymph node metastasis (P < 0.05).,TP,database
14521756,PPAR-alpha,HIF-1alpha,The influence of antisense oligonucleotide HIF-1alpha on PPAR-alpha was detected by RT-PCR and Western-blot.,TP,database
14531904,WT1,GATA-1,"PAX2, PAX8 and GATA-1 are known physiological regulators of WT1.",TP,database
14531904,WT1,PAX2,"PAX2, PAX8 and GATA-1 are known physiological regulators of WT1.",TP,database
14531904,WT1,PAX8,"PAX2, PAX8 and GATA-1 are known physiological regulators of WT1.",TP,database
14606069,c-myc,c-fos,"GBEP was able to elevate the apoptosis rate and expression of c-fos gene, but reduce the expression of c-myc and bcl-2 genes also in a dose-dependent manner.",TP,database
15087132,KLF5,Sp1,These findings suggest that Sp1 is a key transcription factor in KLF5's dynamic transcriptional regulation,TP,database
15175043,GLI1,GLI2,GLI2 is expressed in normal human epidermis and BCC and induces GLI1 expression by binding to its promoter.,TP,database
15255287,RARbeta,RARalpha,The hallmark of the study was the significant increase in expression of RARalpha and RXRalpha proteins and loss of expression of RARbeta protein in ESCCs in comparison with the distant normal epithelia,TP,database
15265367,IkappaBalpha,NF-kappaB,The inhibition of NF-kappaB by mutant IkappaBalpha could provide a new approach that may enhance the anti-leukemia effects of TNF-alpha or even of other cytotoxic agents,TP,database
15295102,p53 tumor suppressor,YY1,YY1 inhibits the activation of the p53 tumor suppressor in response to genotoxic stress.,TP,database
15322221,c-fos,CREM,We conclude that CREM represses the expression of c-fos and limits the activity of the enhancer AP-1.,TP,database
15367686,ERalpha,FOXO3a,"Thus, FOXO3a represents an important intracellular mediator of ERalpha expression, suggesting possible therapeutic intervention strategies for Her-2/neu-overexpressing refractory breast tumors",TP,database
15367686,ERalpha,FKHRL-1,"We identify for the first time the Forkhead box protein FOXO3a (formerly termed FKHRL-1), which is inactivated by Akt, as a key regulator of ERalpha gene transcription.",TP,database
15367686,ERalpha,FOXO3a,"We identify for the first time the Forkhead box protein FOXO3a (formerly termed FKHRL-1), which is inactivated by Akt, as a key regulator of ERalpha gene transcription.",TP,database
15514944,fra-1,c-fos,"Results indicate that though AP-1 showed high binding activity and the majority of its members were highly expressed in tumor tissues, there is a distinct pattern of gradual increase of c-fos and a concomitant decrease of fra-1 expression that perfectly match the progression of cervical lesions.",TP,database
15514944,fra-1,c-fos,"While c-fos is highly expressed in invasive cervical tumor, the expression of fra-1 becomes almost nil or absent, but the reverse is true in both controls and early precancerous lesions.",TP,database
15547708,p53,c-Myc,"Similarly, mRNA encoding c-Myc, a well-known regulator of p53, was decreased in NaBu-treated cells, while p21(Waf1/Cip1) mRNA was increased.",TP,database
15578720,p63,p53,We tested 7 p53-related proteins of the p63 and p73 families for their ability to induce maspin expression.,TP,database
15601819,p73,E2F1,We demonstrate as well that E2F1 directs p73 expression in the presence and absence of DNA damage.,TP,database
15665984,SRY,WT1,"The WT1 transcription factor regulates SRY expression during the initial steps of the sex determination process in humans, activating a gene cascade leading to testis differentiation.",TP,database
15671037,p53,RelA,We previously showed that RelA-NF-kappaB functioned as a proapoptotic factor by activating the p53-signaling pathway in response to doxycycline-induced superoxide.,TP,database
15711576,PPARgamma,C/EBPalpha,"Interestingly, expression of the mutant beta-catenin blocks expression of adiponectin and C/EBPalpha in response to the activation of PPARgamma.",TP,database
15754365,p63,p53,The p53 homologous squamous stem-cell regulatory protein p63 is expressed in squamous carcinomas but is not characteristically detected in small-cell carcinomas (SCCs).,TP,database
15760336,Mitf,Sox10,"During specification, Sox10 activates the Mitf gene as the key regulator of melanocyte development.",TP,database
15761015,c-Myc,Sp1 transcription factor,"We further explored the mechanisms by which ROS affects gene regulation and found that the Sp1 transcription factor was oxidized by arsenic treatment, with a corresponding decrease in its in situ binding on the promoters of 3 genes, hTERT, C17, and c-Myc, whose expressions were significantly suppressed.",TP,database
15780936,p53,Myc,HIF-1alpha displaces the transcriptional activator Myc from Sp1 binding to repress MutSalpha expression in a p53-dependent manner; Sp1 serves as a molecular switch by recruiting HIF-1alpha to the gene promoter under hypoxia.,TP,database
15814628,IkappaBalpha,NF-kappaB,"We also did luciferase reporter assay, Western blot analysis, and reverse transcription-PCR using the SNU-216 human gastric cancer cell line transduced with retroviral vectors containing constitutively active Akt or the NF-kappaB repressor mutant of IkappaBalpha.",TP,database
15817159,p53,AP-1,"Activated Notch1 in these cells represses viral E6/E7 expression through AP-1 down-modulation, resulting in increased p53 expression and a block of pRb hyperphosphorylation.",TP,database
15867358,c-myb,E2F1,"Taken together, these results suggest activation of a transcriptional cascade by which E2F1 regulates COX-2 expression through the c-myb oncogene.",TP,database
15967108,p53,SP-1,"Transcriptional analysis with luciferase reporters driven by SAK promoter deletion fragments identified SP-1 and CREB binding sites, which together conferred a two-fold SAK repression by p53.",TP,database
15988026,p63,p53,The p53-related p63 gene encodes six isoforms with differing N and C termini.,TP,database
16024108,Sp1,NF-YA,Overexpression of NF-YA had a synergistic effect on Sp1 overexpression and an additive effect on Sp3 overexpression.,TP,database
16024108,Sp3,NF-YA,Overexpression of NF-YA had a synergistic effect on Sp1 overexpression and an additive effect on Sp3 overexpression.,TP,database
16131611,p73,p53,"The recently discovered p53-related genes, p73 and p63, express multiple splice variants and N-terminally truncated forms initiated from an alternative promoter in intron 3.",TP,database
16131611,p63,p53,"The recently discovered p53-related genes, p73 and p63, express multiple splice variants and N-terminally truncated forms initiated from an alternative promoter in intron 3.",TP,database
16253247,REST,HES-1,"Taken together, these results indicate that HES-1 is an upstream negative regulator of REST expression",TP,database
16264274,p53,CCAAT-binding transcription factor,Transcription repression of a CCAAT-binding transcription factor CBF/HSP70 by p53.,TP,database
16271147,IkappaBalpha,NFkappaB,BACKGROUND: Activation-induced induction of transcription factor NFkappaB in T lymphocytes is regulated by its inhibitor IkappaBalpha.,TP,database
16430884,p53,NFkappaB,Up-regulation of NFkappaB-responsive gene expression by DeltaNp73alpha in p53 null cells.,TP,database
16552729,c-myc,c-fos,"The identified proteins included key regulators of signal transduction such as Rho GDP dissociation inhibitor (Rho GDI) alpha and beta members of the MAPK family, and proteins involved in the regulation of c-fos or c-myc expression.",TP,database
16628196,IRF-7,STAT1,"Furthermore, STAT1-SOCS1 regulated poly(I:C)-induced TLR3 and IRF-7 expression.",TP,database
16809346,ERalpha,FoxO3a,"Together with the chromatin immunoprecipitation and biotinylated oligonucleotide pulldown data, the co-immunoprecipitation results also suggest the possibility that FoxM1 and FoxO3a cooperate to regulate ERalpha gene transcription",TP,database
