Class_ID1,Entrez_Gene_ID1,Species1,TF_GO_codes_molecular_function1,TF_GO_codes_biological_process1,Class_ID2,Entrez_Gene_ID2,Species2,TF_GO_codes_molecular_function2,TF_GO_codes_biological_process2,PMID,Gene_mention1,Gene_mention2,Sentence,prediction,pair_id,num_entities,num_unique_entities,all_mentions,unique_mentions,feedback_PD
2.1.1.1.4,367,9606,GO:0016563,GO:0010552|GO:0034339,2.1.1.2.1,2099,9606,,GO:0006355|GO:0034339,17023856,AIS,ESR1,The effect of ESR1 SNPs on severity of scoliosis was analyzed in a subgroup of AIS patients (n = 364) followed up until skeletal maturity with the maximum Cobb angle recorded.,0.31,PMID.dPMID17023856.s8.p0,2,2,ESR1|AIS,AIS|ESR1,x
2.1.1.1.4,367,9606,GO:0016563,GO:0010552|GO:0034339,2.1.1.2.1,2099,9606,,GO:0006355|GO:0034339,17023856,AIS,ESR1,OBJECTIVES: To investigate whether: 1) PvuII and XbaI polymorphisms in ESR1 are predisposition factor for AIS and 2) these polymorphisms correlate with the severity of curvature in AIS.,0.18,PMID.dPMID17023856.s12.p0,3,2,ESR1|AIS|AIS,AIS|ESR1,x
2.1.1.1.4,367,9606,GO:0016563,GO:0010552|GO:0034339,2.1.1.2.2,2100,9606,,GO:0006355|GO:0034339,18551363,A-R,ER-beta,"In adhesion cells, ER-alpha were higher at 10(-8) estradiol; ER-beta were higher at 10(-6) M estradiol; P-R remained constant; A-R showed a higher expression at 10(-10) and 10(-8) M estradiol; and PRL-R showed an exponential increase at 10(-10) M estradiol.",0.13,PMID.dPMID18551363.s1.p4,5,5,ER-alpha|ER-beta|P-R|A-R|PRL-R,A-R|ER-alpha|ER-beta|P-R|PRL-R,x
3.1.10.18.1,401,9606,,,1.2.3.2.4,9464,9606,GO:0016563,GO:0006355|GO:0045944,16280598,Phox2a,dHAND,"Phox2a and Phox2b transactivate the promoter of the gene encoding the noradrenergic biosynthetic enzyme, dopamine beta-hydroxylase (DBH), and dHAND potentiates the activity of Phox2a.",0.55,PMID.dPMID16280598.s7.p9,5,4,Phox2a|Phox2b|DBH|dHAND|Phox2a,DBH|dHAND|Phox2a|Phox2b,c
3.1.10.18.1,401,9606,,,1.2.3.2.4,9464,9606,GO:0016563,GO:0006355|GO:0045944,14512028,Phox2a,HAND2,Our data suggest that HAND2 regulates cell type-specific expression of norepinephrine in concert with Phox2a by a novel mechanism,0.53,PMID.dPMID14512028.s0.p0,2,2,HAND2|Phox2a,HAND2|Phox2a,c
3.1.10.18.1,401,9606,,,1.2.3.2.4,9464,9606,GO:0016563,GO:0006355|GO:0045944,14512028,Phox2a,HAND2,"Using transient transfection of P19 or NT-2 cells, HAND2 is shown to synergistically enhance Phox2a-driven transcriptional activity at the DBH promoter, an effect that is enhanced by cAMP.",0.45,PMID.dPMID14512028.s5.p0,3,3,HAND2|Phox2a|DBH,DBH|HAND2|Phox2a,c
1.2.5.2.1,405,9606,,GO:0043193|GO:0043619,2.3.1.0.2,6667,9606,GO:0003702|GO:0016563,GO:0006355|GO:0043923|GO:0045817|GO:0045893|GO:0045944,20508969,ARNT,Sp1,EGF-induced promoter activity and the mRNA level of 12(S)-lipoxygenase as well as the association between c-Jun and Sp1 were reduced by ARNT knockdown.,0.17,PMID.dPMID20508969.s3.p9,5,5,EGF|12(S)-lipoxygenase|c-Jun|Sp1|ARNT,12(S)-lipoxygenase|ARNT|c-Jun|EGF|Sp1,x
1.2.2.2.1,429,9606,,GO:0032582|GO:0045944,1.2.4.1.1,3280,9606,GO:0016564,GO:0000122,10774739,Mash1,Hes1,"Hes1 encodes a basic helix-loop-helix (bHLH) transcriptional repressor and functionally antagonizes positive bHLH genes such as the neuronal determination gene, Mash1.",0.56,PMID.dPMID10774739.s8.p0,2,2,Hes1|Mash1,Hes1|Mash1,<--
1.2.2.2.1,429,9606,,GO:0032582|GO:0045944,1.2.4.1.1,3280,9606,GO:0016564,GO:0000122,18491256,ASCL1,HES1,"There was a significant positive correlation between NOTCH1 and HES1 mRNA levels, but no indication that HES1 was inhibiting ASCL1 transcription was found.",0.44,PMID.dPMID18491256.s2.p5,4,3,NOTCH1|HES1|HES1|ASCL1,ASCL1|HES1|NOTCH1,<--
1.2.2.2.1,429,9606,,GO:0032582|GO:0045944,1.2.4.1.1,3280,9606,GO:0016564,GO:0000122,9570134,Mash1,HES1,"Conversely, null mutation of HES1 up-regulates Mash1 expression, accelerates neuronal differentiation, and causes severe defects of the brain and eyes.",0.19,PMID.dPMID9570134.s4.p0,2,2,HES1|Mash1,HES1|Mash1,<--
1.2.2.2.1,429,9606,,GO:0032582|GO:0045944,1.2.4.1.1,3280,9606,GO:0016564,GO:0000122,9570134,Mash1,HES1,"In contrast, another bHLH factor, HES1, which is expressed by neural precursor cells but not by neurons, represses Mash1 expression and antagonizes Mash1 activity in a dominant negative manner.",0.07,PMID.dPMID9570134.s6.p0,3,2,HES1|Mash1|Mash1,HES1|Mash1,<--
1.1.2.0.2,466,9606,,,1.2.6.1.4,4286,9606,GO:0016563,GO:0006355,16766266,EWS-ATF1,MITF,Knockdown/rescue studies revealed that MITF mediates the requirement of EWS-ATF1 for CCS survival in vitro and in vivo as well as for melanocytic differentiation.,0.20,PMID.dPMID16766266.s2.p0,2,2,MITF|EWS-ATF1,EWS-ATF1|MITF,x
1.1.2.0.2,466,9606,,,1.2.6.1.4,4286,9606,GO:0016563,GO:0006355,12966428,ATF1,Mitf,"Surprisingly, however, the Mitf-M promoter is not activated by EWS/ATF1 in transient assays employing CCS cells, melanocytes or nonmelanocytic cells.",0.05,PMID.dPMID12966428.s1.p1,3,3,Mitf|EWS|ATF1,ATF1|EWS|Mitf,n
1.1.1.2.6,467,9606,,,1.1.1.2.10,468,9606,GO:0003702|GO:0003704|GO:0016563,GO:0006355|GO:0045944,20828393,ATF3,ATF4,"The mechanism of ATF3 induction by M344 was found to be independent of MAPKinase pathways and dependent on ATF4, a known regulator of ATF3 expression.",1.87,PMID.dPMID20828393.s3.p2,3,2,ATF3|ATF4|ATF3,ATF3|ATF4,c
1.1.1.2.6,467,9606,,,1.1.2.0.11,1386,9606,GO:0003702,GO:0051090,20581861,ATF3,ATF2,Knock down of ATF2 abolished TA-induced ATF3 expression.,0.60,PMID.dPMID20581861.s4.p0,2,2,ATF2|ATF3,ATF2|ATF3,<--
1.1.1.2.6,467,9606,,,1.1.2.0.11,1386,9606,GO:0003702,GO:0051090,20581861,ATF3,ATF2,Activating transcription factor 2 (ATF2) controls tolfenamic acid-induced ATF3 expression via MAP kinase pathways.,0.40,PMID.dPMID20581861.s14.p0,2,2,ATF2|ATF3,ATF2|ATF3,<--
1.1.1.2.6,467,9606,,,6.3.1.0.1,7157,9606,GO:0016563|GO:0016564|GO:0016566,GO:0000122|GO:0006355|GO:0010552|GO:0010553|GO:0045941|GO:0045944,17108111,ATF3,p53,"Moreover, we show that mutant p53 attenuates ATF3 expression by two complementary mechanisms.",0.76,PMID.dPMID17108111.s2.p0,2,2,p53|ATF3,ATF3|p53,<->
1.1.1.2.6,467,9606,,,6.3.1.0.1,7157,9606,GO:0016563|GO:0016564|GO:0016566,GO:0000122|GO:0006355|GO:0010552|GO:0010553|GO:0045941|GO:0045944,18836721,ATF3,p53,"Furthermore, following the drug treatment, the protein expression of p53, phospho-p53 (Ser20) as well as the p53 transcriptional activated genes ATF3, puma and Apaf-1 were increased dramatically; MDM2 and Aurora A, the two p53 negative regulators were decreased; the p53 protein stability was enhanced, whereas the p53 mRNA expression level slightly decreased and ATF3 mRNA expression apparently increased.",0.33,PMID.dPMID18836721.s3.p5,8,2,p53|p53|p53|ATF3|p53|p53|p53|ATF3,ATF3|p53,<->
1.1.1.2.6,467,9606,,,6.3.1.0.1,7157,9606,GO:0016563|GO:0016564|GO:0016566,GO:0000122|GO:0006355|GO:0010552|GO:0010553|GO:0045941|GO:0045944,19060337,ATF3,p53,We show that activation of tumor suppressor p53 by DNA damage results in inhibition of Cdc25A transcription as a result of activation of transcriptional repressor ATF3 that directly binds to the Cdc25A promoter.,0.29,PMID.dPMID19060337.s3.p1,4,3,p53|Cdc25A|ATF3|Cdc25A,ATF3|Cdc25A|p53,<->
1.1.1.2.10,468,9606,GO:0003702|GO:0003704|GO:0016563,GO:0006355|GO:0045944,1.1.1.2.6,467,9606,,,20828393,ATF4,ATF3,"The mechanism of ATF3 induction by M344 was found to be independent of MAPKinase pathways and dependent on ATF4, a known regulator of ATF3 expression.",0.58,PMID.dPMID20828393.s3.p0,3,2,ATF3|ATF4|ATF3,ATF3|ATF4,c
1.1.1.2.10,468,9606,GO:0003702|GO:0003704|GO:0016563,GO:0006355|GO:0045944,1.1.1.2.6,467,9606,,,15385533,ATF4,ATF3,The data suggest that ATF3-FL and C/EBPbeta act as transcriptional suppressors for the ASNS gene to counterbalance the transcription rate activated by ATF4 following amino acid deprivation,0.17,PMID.dPMID15385533.s0.p3,4,4,ATF3|C/EBPbeta|ASNS|ATF4,ASNS|ATF3|ATF4|C/EBPbeta,c
1.1.1.2.10,468,9606,GO:0003702|GO:0003704|GO:0016563,GO:0006355|GO:0045944,1.1.4.1.6,1649,9606,,GO:0043433|GO:0043620,14630918,ATF4,CHOP,Induction of CHOP expression by amino acid limitation requires both ATF4 expression and ATF2 phosphorylation.,0.83,PMID.dPMID14630918.s11.p0,3,3,CHOP|ATF4|ATF2,ATF2|ATF4|CHOP,c
1.1.1.2.10,468,9606,GO:0003702|GO:0003704|GO:0016563,GO:0006355|GO:0045944,1.1.4.1.6,1649,9606,,GO:0043433|GO:0043620,17276738,ATF4,CHOP,"These results suggest that the presence of mtDNA mutations elicits upregulation of CHOP and ASNS genes through the elevation of ATF4 expression and its binding to the AARE and NSRE-1, respectively",0.32,PMID.dPMID17276738.s0.p1,4,4,CHOP|ASNS|ATF4|AARE,AARE|ASNS|ATF4|CHOP,e
1.1.1.2.10,468,9606,GO:0003702|GO:0003704|GO:0016563,GO:0006355|GO:0045944,3.1.2.11.2,4488,9606,GO:0016564,,15970589,CREB2,MSX2,This MSX2 repression function can be counteracted by overexpression of transcription factors CREB2 and RAP74.,0.03,PMID.dPMID15970589.s3.p0,3,3,MSX2|CREB2|RAP74,CREB2|MSX2|RAP74,c
1.2.3.4.8,474,9606,,,1.2.3.4.1,4760,9606,GO:0003702,GO:0045944,18668008,Math1,Basic helix-loop-helix transcription factor,Basic helix-loop-helix transcription factor Math1 was found to be necessary and sufficient for the production of auditory hair cells.,0.62,PMID.dPMID18668008.s4.p0,2,2,Basic helix-loop-helix transcription factor|Math1,Basic helix-loop-helix transcription factor|Math1,w
1.1.1.1.5,571,9606,,,3.1.4.7.1,6927,9606,GO:0003702,GO:0010551|GO:0045893,11069897,BACH1,Transcription factor,Transcription factor BACH1 is recruited to the nucleus by its novel alternative spliced isoform.,0.24,PMID.dPMID11069897.s7.p0,2,2,Transcription factor|BACH1,BACH1|Transcription factor,w
6.1.2.1.8,602,9606,GO:0030528,GO:0016481|GO:0045941,1.2.6.5.1,4609,9606,GO:0016563,GO:0006357|GO:0045941,2682663,BCL3,MYC,Cloning and sequence analysis of the rearranged MYC gene revealed that MYC was truncated at the Pvu II site at the end of the first exon of MYC and had joined into the regulatory elements of a gene that we called BCL3 (B-cell leukemia/lymphoma 3).,0.17,PMID.dPMID2682663.s3.p4,5,2,MYC|MYC|MYC|BCL3|B-cell leukemia/lymphoma 3,B-cell leukemia/lymphoma 3|BCL3|MYC,x
6.1.2.1.8,602,9606,GO:0030528,GO:0016481|GO:0045941,1.2.6.5.1,4609,9606,GO:0016563,GO:0006357|GO:0045941,2682663,B-cell leukemia/lymphoma 3,MYC,Cloning and sequence analysis of the rearranged MYC gene revealed that MYC was truncated at the Pvu II site at the end of the first exon of MYC and had joined into the regulatory elements of a gene that we called BCL3 (B-cell leukemia/lymphoma 3).,0.07,PMID.dPMID2682663.s3.p7,5,2,MYC|MYC|MYC|BCL3|B-cell leukemia/lymphoma 3,B-cell leukemia/lymphoma 3|BCL3|MYC,x
6.1.2.1.8,602,9606,GO:0030528,GO:0016481|GO:0045941,6.1.1.1.1,4790,9606,GO:0016563,GO:0010553|GO:0045941|GO:0051092,11387332,BCL-3,NF-kappa B,NF-kappa B-inducible BCL-3 expression is an autoregulatory loop controlling nuclear p50/NF-kappa B1 residence.,0.79,PMID.dPMID11387332.s11.p0,3,2,NF-kappa B|BCL-3|NF-kappa B,BCL-3|NF-kappa B,e
6.1.2.1.8,602,9606,GO:0030528,GO:0016481|GO:0045941,6.1.1.1.1,4790,9606,GO:0016563,GO:0010553|GO:0045941|GO:0051092,10469655,Bcl-3,NF-kappaB,"We propose a model that p105 is inducibly degraded, and that its degradation liberates sequestered NF-kappaB subunits, including its processing product p50. p50 homodimers are specifically bound by the transcription activator Bcl-3.",0.07,PMID.dPMID10469655.s6.p0,2,2,NF-kappaB|Bcl-3,Bcl-3|NF-kappaB,c
6.1.2.1.8,602,9606,GO:0030528,GO:0016481|GO:0045941,6.1.1.2.3,5966,9606,,,11387332,BCL-3,Rel,Two observations are interpreted to indicate that bcl-3 is transactivated by NF-kappa B/Rel A: 1) expression of a dominant negative NF-kappa B inhibitor blocks tumor necrosis factor-alpha-induced BCL-3 expression and 2) expression of constitutively active Rel A is sufficient to induce BCL-3 expression.,0.51,PMID.dPMID11387332.s3.p20,7,3,bcl-3|NF-kappa B|Rel|NF-kappa B|BCL-3|Rel|BCL-3,bcl-3|BCL-3|NF-kappa B|Rel,e
6.1.2.1.8,602,9606,GO:0030528,GO:0016481|GO:0045941,6.2.1.0.3,6774,9606,GO:0016563,GO:0000122|GO:0006357|GO:0045449,16732314,BCL3,Stat3,Silencing Stat3 expression by small interfering RNA (siRNA) abrogated BCL3 expression by IL-6.,1.50,PMID.dPMID16732314.s5.p0,3,3,Stat3|BCL3|IL-6,BCL3|IL-6|Stat3,e
6.1.2.1.8,602,9606,GO:0030528,GO:0016481|GO:0045941,6.3.1.0.1,7157,9606,GO:0016563|GO:0016564|GO:0016566,GO:0000122|GO:0006355|GO:0010552|GO:0010553|GO:0045941|GO:0045944,12808109,Bcl-3,p53,p53 represses cyclin D1 transcription through down regulation of Bcl-3 and inducing increased association of the p52 NF-kappaB subunit with histone deacetylase 1.,0.72,PMID.dPMID12808109.s9.p0,2,2,p53|Bcl-3,Bcl-3|p53,e
2.3.5.0.48,639,9606,,GO:0000122,1.1.1.1.1,3725,9606,GO:0016563|GO:0016564,GO:0043922|GO:0043923|GO:0045941|GO:0045944|GO:0051090,12165517,Blimp-1,AP-1,Repression of AP-1 function: a mechanism for the regulation of Blimp-1 expression and B lymphocyte differentiation by the B cell lymphoma-6 protooncogene.,0.99,PMID.dPMID12165517.s8.p0,2,2,AP-1|Blimp-1,AP-1|Blimp-1,e
2.3.5.0.48,639,9606,,GO:0000122,1.2.6.5.1,4609,9606,GO:0016563,GO:0006357|GO:0045941,17877160,Blimp-1,c-myc,Regulation of c-myc expression by Blimp-1 during the differentiation of myeloma cells   OBJECTIVE: To investigate the repression of c-myc induced by Blimp-1 in 2-methoxyestradiol(2ME2)-mediated differentiation of multiple myeloma cells.,1.52,PMID.dPMID17877160.s7.p0,4,2,c-myc|Blimp-1|c-myc|Blimp-1,Blimp-1|c-myc,e
2.3.5.0.48,639,9606,,GO:0000122,1.2.6.5.1,4609,9606,GO:0016563,GO:0006357|GO:0045941,10713181,Blimp-1,c-myc,Transcription of the c-myc gene is repressed by Blimp-1 during B-cell differentiation.,1.27,PMID.dPMID10713181.s6.p0,2,2,c-myc|Blimp-1,Blimp-1|c-myc,e
2.3.5.0.48,639,9606,,GO:0000122,1.2.6.5.1,4609,9606,GO:0016563,GO:0006357|GO:0045941,17877160,Blimp-1,c-myc,Regulation of c-myc expression by Blimp-1 during the differentiation of myeloma cells   OBJECTIVE: To investigate the repression of c-myc induced by Blimp-1 in 2-methoxyestradiol(2ME2)-mediated differentiation of multiple myeloma cells.,0.43,PMID.dPMID17877160.s7.p5,4,2,c-myc|Blimp-1|c-myc|Blimp-1,Blimp-1|c-myc,e
2.3.5.0.48,639,9606,,GO:0000122,1.2.6.5.1,4609,9606,GO:0016563,GO:0006357|GO:0045941,17877160,Blimp-1,c-myc,Regulation of c-myc expression by Blimp-1 during the differentiation of myeloma cells   OBJECTIVE: To investigate the repression of c-myc induced by Blimp-1 in 2-methoxyestradiol(2ME2)-mediated differentiation of multiple myeloma cells.,0.41,PMID.dPMID17877160.s7.p3,4,2,c-myc|Blimp-1|c-myc|Blimp-1,Blimp-1|c-myc,e
2.3.5.0.48,639,9606,,GO:0000122,1.2.6.5.1,4609,9606,GO:0016563,GO:0006357|GO:0045941,17877160,Blimp-1,c-myc,"In contrast, c-myc expression was decreased with Blimp-1 expression down-regulated by ASODN and the cell lines differentiation was arrested.",0.39,PMID.dPMID17877160.s1.p0,2,2,c-myc|Blimp-1,Blimp-1|c-myc,e
2.3.5.0.48,639,9606,,GO:0000122,3.5.2.5.2,6689,9606,GO:0003702,GO:0006357,11841448,Blimp-1,Spi-B,"Our results showed that plasma cells expressed a restricted set of TFs compared with CD19+ B lymphocytes, with continued expression of Spi-B and oct-2, increased Blimp-1 expression, and downregulation of BSAP and PU.1.",1.67,PMID.dPMID11841448.s2.p1,5,5,Spi-B|oct-2|Blimp-1|BSAP|PU.1,Blimp-1|BSAP|oct-2|PU.1|Spi-B,-->
2.3.5.0.48,639,9606,,GO:0000122,6.2.1.0.3,6774,9606,GO:0016563,GO:0000122|GO:0006357|GO:0045449,18354204,BLIMP1,STAT3,"Lastly, through coexpression of BCL6 and STAT3-ER, we verified that STAT3 activation functionally mimicked IL-21 treatment and that STAT3-mediated BLIMP1 up-regulation occurred despite high BCL6 expression levels indicating that BCL6 is not the dominant repressor of BLIMP1.",0.22,PMID.dPMID18354204.s1.p32,9,4,BCL6|STAT3|STAT3|IL-21|STAT3|BLIMP1|BCL6|BCL6|BLIMP1,BCL6|BLIMP1|IL-21|STAT3,n
2.3.5.0.48,639,9606,,GO:0000122,6.3.1.0.1,7157,9606,GO:0016563|GO:0016564|GO:0016566,GO:0000122|GO:0006355|GO:0010552|GO:0010553|GO:0045941|GO:0045944,17264218,BLIMP1,p53,"p53 binds to and positively regulates BLIMP1, which encodes for a known B cell transcriptional repressor.",1.24,PMID.dPMID17264218.s5.p0,2,2,p53|BLIMP1,BLIMP1|p53,c
3.3.1.12.2,668,9606,GO:0003704|GO:0016563|GO:0016566,GO:0010553|GO:0016481|GO:0045893|GO:0045944|GO:0051090,2.1.1.2.1,2099,9606,,GO:0006355|GO:0034339,19797124,Foxl2,ERalpha,"In addition, ERalpha stimulation of the COX2 promoter was repressed by Foxl2.",1.06,PMID.dPMID19797124.s2.p0,2,2,ERalpha|Foxl2,ERalpha|Foxl2,c
2.3.2.2.20,688,9606,GO:0003702,,2.3.1.0.2,6667,9606,GO:0003702|GO:0016563,GO:0006355|GO:0043923|GO:0045817|GO:0045893|GO:0045944,15087132,KLF5,Sp1,These findings suggest that Sp1 is a key transcription factor in KLF5's dynamic transcriptional regulation,0.46,PMID.dPMID15087132.s0.p0,2,2,Sp1|KLF5,KLF5|Sp1,<--
2.3.2.2.20,688,9606,GO:0003702,,2.3.2.2.19,9314,9606,GO:0016563|GO:0016564,GO:0010552|GO:0045892|GO:0045941,12087155,Klf5,Klf4,"However, while Klf4 activates the promoter of its own gene, Klf5 suppresses the Klf4 promoter.",0.37,PMID.dPMID12087155.s3.p0,3,2,Klf4|Klf5|Klf4,Klf4|Klf5,p
6.4.1.0.1,860,9606,GO:0003702|GO:0016563,GO:0016481,6.4.1.0.2,861,9606,GO:0016563,GO:0045941|GO:0045944,12788047,Runx2,Runx1,"There are three Runx genes in mammals; Runx1 is required for definitive hematopoiesis and is a frequently mutated gene in human leukemia, Runx2 is required for osteogenesis and is associated with cleidocranial dysplasia, and Runx3 controls neurogenesis in the dorsal root ganglia and cell proliferation in the gastric epithelium, and is frequently deleted or silenced in human gastric cancer.",0.24,PMID.dPMID12788047.s3.p0,3,3,Runx1|Runx2|Runx3,Runx1|Runx2|Runx3,x
