pmid,gene1,gene2,sentence,class,details
8750149,p53,c-myc,CONCLUSION: We conclude that c-myc might induce p53 expression in human colorectal cancer and that wild-type but not mutant p53 might be involved in a negative feedback regulation of c-myc expression.,TP,database
8821986,p53,c-myc,"Positive expression of c-myc and p53 products in two cases of pulmonary sclerosing hemangioma	The c-myc and p53 genes are thought to be an oncogene and a tumor suppressor gene, respectively.",TP,database
8909793,c-myc,c-fos,"These signalling pathways, except that for bcl-2 pathway, appear to be mediated by multiple PTKs: p56lck is critical for the induction of the c-fos/c-jun genes, the activation of Syk PTKs results in the induction of the c-myc gene and Jak3 PTK is required for the induction of both c-fos and c-myc genes.",TP,database
8909793,c-myc,c-jun,"These signalling pathways, except that for bcl-2 pathway, appear to be mediated by multiple PTKs: p56lck is critical for the induction of the c-fos/c-jun genes, the activation of Syk PTKs results in the induction of the c-myc gene and Jak3 PTK is required for the induction of both c-fos and c-myc genes.",TP,database
8943844,p53,PAX-5,"When compared with six other DLCL cell lines lacking t(9;14)(p13;q32), the KIS-1 cell line showed an 11-fold overexpression of PAX-5 mRNA and a significantly reduced expression of the p53 gene, which is normally regulated by PAX-5.",TP,database
9178767,WT1,PAX2,The overlap of PAX2 and WT1 expression in fetal kidney prompted us to determine whether PAX2 regulates the WT1 gene.,TP,database
9178767,WT1,PAX2,"These findings suggest that PAX2 is a tissue-specific modulator of WT1 expression, and is involved in cell growth control via WT1",TP,database
9225998,Rel,NF-kappa B,"In this article, we summarise recent studies demonstrating that (1) chronic HIV-1 infection of human myelomonoblastic PLB-985 cells leads to constitutive NF-kappa B activity, activated in part due to enhanced I kappa B alpha turnover and increased NF-kappa B/Rel production; (2) HTLV-1 Tax protein physically associates with the I kappa B alpha protein in vivo and in vitro and also mediates a 20- to 40-fold stimulation of NF-kappa B DNA binding activity mediated via an enhancement of NF-kappa B dimer formation; (3) casein kinase II phosphorylates I kappa B alpha at multiple sites in the C-terminal PEST domains and regulates I kappa B alpha function; (4) transdominant forms of I kappa B alpha, mutated in critical Ser or Thr residues required for inducer-mediated (S32A,S36A) and/or constitutive phosphorylation block HIV LTR trans-activation and also effectively inhibit HIV-1 multiplication in a single cycle infection model; and (5) the amino-terminal 55aa of I kappa B alpha (NIK) interacts with the human homologue of dynein light chain 1, a small 9-kDa human homologue of the dynein light chain protein involved in microtubule and cytoskeletal dynamics.",TP,database
9228081,RARbeta,RAR,"Activation of each of the endogenous RXR or RAR isoforms induces RARbeta gene expression, and blocks cellular proliferation.",TP,database
9232190,DAX1,SF1,"When cotransfected with 1550 bp of the DAX1 promoter, an SF1-containing expression vector increased the transcriptional activity of the DAX1 promoter by 4-fold.",TP,database
9294605,c-myc,Myc-associated zinc finger protein,"To investigate whether MAZ (Myc-associated zinc finger protein) affects the expression of the c-myc gene during the retinoic acid-induced (RA-induced) neuroectodermal differentiation of P19 embryonal carcinoma (EC) cells, we introduced a CAT reporter construct, human c-myc promoter/CAT (pMyc2CAT), and a mutant CAT derivative that lacked an ME1a1 site (pMyc1CAT) into P19EC cells to monitor the promoter activity of the c-myc gene.",TP,database
9382844,c-fos,CREB,Cells with anchored PKAII exhibited a threefold higher level of nuclear catalytic subunit content and 4-10-fold greater increments in phosphorylation of a regulatory serine residue in cAMP response element binding protein (CREB) and in phosphoCREB-stimulated transcription of the c-fos gene.,TP,database
9500554,MITF,PAX3,These results provide evidence that PAX3 directly regulates MITF and suggest that the failure of this regulation due to PAX3 mutations causes the auditory-pigmentary symptoms in at least some individuals with WS1,TP,database
9570134,Mash1,HES1,"In contrast, another bHLH factor, HES1, which is expressed by neural precursor cells but not by neurons, represses Mash1 expression and antagonizes Mash1 activity in a dominant negative manner.",TP,database
9573251,IkappaBalpha,RelA,"Although IkappaBalpha was resynthesized within 30 min following recombinant human TNFalpha treatment due to a robust 25-fold increase of IkappaBalpha mRNA expression (the RelA:IkappaBalpha positive feedback loop), following pRSV infection, there was no reaccumulation of IkappaBalpha protein, as infected cells produced only a 3-fold increase in IkappaBalpha mRNA at 24 h, indicating the RelA:IkappaBalpha positive feedback loop was insufficient to restore control IkappaBalpha levels.",TP,database
9816266,p53,c-myc,The better prognosis seen in patients who overexpress c-myc was offset when c-myc overexpression was coupled with a point mutated p53 gene.,TP,database
9891077,p73,p53,"By cotransfecting p73alpha along with either p53 mutant and a p53-responsive reporter, we found that both R175H and R248W reduces the transcriptional activity of p73alpha.",TP,database
10037186,p53,c-myc,"Suppression of c-myc using antisense oligodeoxynucleotides (in the absence of p53) was sufficient to trigger apoptosis in Tu-138 cells, raising the possibility that the reduction of c-myc may be involved in at least one of the cell death pathways mediated by p53.",TP,database
10082525,p53,c-fos,Identification of c-fos as a specific target for transcriptional activation by p53 establishes a direct link between these two pivotal regulatory proteins and raises the possibility that c-fos contributes to some of the biological effects of p53,TP,database
10328240,RARbeta,RARalpha,"Sensitivity to 4HPR was increased in RARbeta-overexpressing clones, whereas it was slightly decreased in RARalpha transfectants (which had diminished RARbeta expression) and was unchanged in clones transfected with RARgamma.",TP,database
10344280,IkappaBalpha,NFkappaB,"The model used in this study was a human lymphoblastoid cell line in which a functional repression of the transcription factors NFkappaB was obtained by induction of overexpression of IkappaBalpha, a physiological inhibitor of NFkappaB.",TP,database
10360378,WT1,GATA-1,"Using a sensitive, isotopic duplex RT-PCR procedure amplifying WT1 or GATA-1 together with beta-actin as the internal control in a single reaction mix, we quantitated the expression of WT1 and GATA-1 mRNA of 16 patients with myelodysplastic syndrome (MDS), 56 with acute myeloid leukemia (AML) and 22 with acute lymphoblastic leukemia (ALL).",TP,database
10371354,p73,p53,"Recently, a p53-related gene, termed p73, has been cloned and its gene product possesses a function similar to p53.",TP,database
10435630,p73,p53,"The p53-related gene product, p73, occurs as two distinct protein isoforms, referred to as alpha and beta, which differ in the length of the C-terminal region and arise through alternative splicing of the p73 RNA.",TP,database
10574767,Gli1,Gli3,"Here, we have subjected the human proteins Gli1 and Gli3 to the precise and well-defined Hh signalling assay of Drosophila wing development and established that Gli1 functions as an activator and Gli3 as a repressor of Hh target genes; that the activating transcriptional activity of Gli1 and the repressing activity of Gli3 are both subject to Hh regulation in vivo; and that the combined activities of Gli1 and Gli3 can substitute for Ci in controlling Hh target gene expression during embryonic and larval development",TP,database
10602473,Myc,USF,"Although USF-1 and -2 are the major proteins that bind to Myc-regulated E-box (CACGTG) elements in many cells, there is no clear role for USF during Myc-dependent gene regulation.",TP,database
10629053,RARbeta,COUP-TF,"In addition, stable expression of COUP-TF in COUP-TF-negative cancer cells restores induction of RARbeta expression, growth inhibition, and apoptosis by RA, whereas inhibition of COUP-TF by expression of COUP-TF antisense RNA represses the RA effects.",TP,database
10739671,c-myb,IRF-1,"Together, these results are consistent with the existence of a functional relationship between IRF-1 and c-myb in which IRF-1 negatively regulates c-myb expression at the transcriptional level by a mechanism that may depend on the interaction of IRF-1 with a segment of the c-myb gene implicated in transcription pausing",TP,database
10761704,p73,p53,"Two p53-related genes, p73 and p51, were recently identified as structural homologues of the p53 tumor suppressor gene, suggesting that the roles of these two genes may be similar to those of p53, including growth suppression and induction of apoptosis.",TP,database
10761704,p51,p53,"Two p53-related genes, p73 and p51, were recently identified as structural homologues of the p53 tumor suppressor gene, suggesting that the roles of these two genes may be similar to those of p53, including growth suppression and induction of apoptosis.",TP,database
10787423,p53,YY1,"Overexpression of YY1 reverses the repressive effect of p53, suggesting a functional antagonism between p53 and YY1.",TP,database
10871633,c-Jun,Smad3,"The repression obtained with a c-Jun mutant unable to activate transcription through AP-1 sites indicates that the inhibitory mechanism does not rely on the induction of a Smad3 repressor by c-Jun, suggesting that c-Jun could act as a Smad3 co-repressor.",TP,database
10884390,p73,p53,"Furthermore, p53His175 and p53Gly281 mutants markedly reduce the transcriptional activity of the various isoforms of p73.",TP,database
10906122,c-myc,CTCF,"Although expression of YB-1 alone had no effect, co-expression with CTCF resulted in a marked enhancement of CTCF-driven c-myc transcriptional repression.",TP,database
10924517,IRF-7,IRF-3,"Previous studies indicated that the virus-mediated transcription of type I interferon (IFN) genes required activation of two members of IFN regulatory factor (IRF) family, IRF-3 and IRF-7, where the expression of IRF-7 was found to be indispensable for the induction of IFNA genes.",TP,database
10958673,CHOP,ATF6,"We report here that overexpression of soluble ATF6 activates transcription of the CHOP and XBP-1 genes as well as of ER chaperone genes constitutively, whereas overexpression of a dominant negative mutant of ATF6 blocks the induction by ER stress.",TP,database
10965053,DAX-1,Ad4BP,"Even though the Ad4BP-dependent transcriptional regulation of the DAX-1 gene has been reported, DAX-1 did not affect the transcriptional activity of the hFTZ-F1 gene in our study.",TP,database
11028915,p53-related protein p73,p53,"One involves the tumour-suppressor protein p53, the other is mediated by the p53-related protein p73.",TP,database
11069829,IkappaBalpha,NF-kappaB,"The reduced expression of nuclear NF-kappaB was not due to its inhibition by IkappaBalpha, as very low expression of IkappaBalpha, as well as low levels of p65 and p50 were found in the cytoplasm of PBMC from patients with sepsis and trauma when compared with control subjects.",TP,database
11148566,p53,c-myc,"CONCLUSIONS: Because c-myc is a known inducer of wild type p53, decreased c-myc expression may lead to uncontrolled cell growth because of the lack of p53 expression that normally induces apoptosis.",TP,database
11181451,p51,p53,"p53CP is p51/p63, the third member of the p53 gene family: partial purification and characterization.",TP,database
11181451,p63,p53,"p53CP is p51/p63, the third member of the p53 gene family: partial purification and characterization.",TP,database
11181451,p51,p53,"Thus, p53CP appears to be p51/p63, the third member of the p53 gene family",TP,database
11181451,p63,p53,"Thus, p53CP appears to be p51/p63, the third member of the p53 gene family",TP,database
11278460,SRY,WT1,"These observations, together with the overlapping expression patterns of WT1 and SRY in human gonads, led us to propose that WT1 regulates SRY in the initial sex determination process in humans and activates a cascade of genes ultimately leading to the complete organogenesis of the testis.",TP,database
11297612,DAX-1,SF-1,"DAX-1 is a repressor of StAR gene expression, and steroidogenic factor-1 (SF-1) is a regulator of CYP11A, DAX-1, and StAR gene.",TP,database
11314010,p73,p53,"We also found that p53 and p73, but not mutant p53(R249S) and p73beta292, directly induce the expression of the p73 gene.",TP,database
11325852,p53,c-jun,"Nonetheless, the ligation-mediated PCR technology was used here to demonstrate, at nucleotide resolution, that p53-/-p21+/+ DLD1 excises UVB-induced cyclobutane pyrimidine dimers from the c-jun proto-oncogene at a significantly lower rate than the isogenic p53-/-p21-/- derivative.",TP,database
11389695,p73,p53,The main structural difference between p73 and p53 is the additional C-terminal region of p73.,TP,database
11550287,TP73,TP53,"Molecular analysis of the TP73 gene on 1p36 and the TP53 gene revealed a deletion of one-allele in TP73 with partial demethylation of another allele in the initial clone of YSK, and a point mutation consisting of an A-->T substitution in codon 288 of the TP53 gene in the developed clone of YSK-21.",TP,database
11711629,IRF-7,NF-kappaB,"A superrepressor of IkappaB (sr-IkappaB) could block the induction of IRF-7 by LMP-1, and overexpression of NF-kappaB (p65 plus p50) could induce the expression of IRF-7.",TP,database
11835312,Elk1,Egr-1,"Moreover, these SREs are binding sites for Elk1, suggesting that NO activated Egr-1 gene transcription via activation of Elk1.",TP,database
11844794,p73,p53,"Overexpression of MM1 in p53-deficient osteosarcoma SAOS-2 cells enhanced the p73 alpha-dependent transcription from the p53/p73-responsive Bax and PG13 promoters, whereas p73 beta- and p53-mediated transcriptional activation was unaffected in the presence of MM1.",TP,database
11865060,p53,c-Myc,The c-Myc-induced alteration of the G(1)/S checkpoint was also compared to the effects of expression of MycS (N-terminally truncated c-Myc) and p53DD (a dominant negative p53) in the HMECs.,TP,database
11867732,p53,c-Jun,Members of the PIAS family act as SUMO ligases for c-Jun and p53 and repress p53 activity.,TP,database
11877423,c-jun,MEF2A,Studying the c-jun enhancer in reporter gene assays we observed that the muscle transcription factors MEF2A and MyoD can contribute to robust transcriptional activation of the c-jun enhancer.,TP,database
11884470,NURR1,CREB-1,"In summary, enhanced NF-kappaB- and CREB-1-binding activity on the NURR1 promoter by inflammatory mediators delineates novel mechanisms in the regulation of NURR1 transcription.",TP,database
11893750,p63,p53,"Unlike wild-type p53, the binding to specific p53 mutants markedly counteracts p63-induced growth inhibition.",TP,database
11909952,p73,p53,"Here we report that p73, but not p53, directly activates the transcription of endogenous Delta Np73 by binding to the p73-specific target element located at positions -76 to -57 within the Delta Np73 promoter region.",TP,database
11948912,GLI1,Twist,"Twist mutations cause human birth defects and Twist is overexpressed in many rhabdomyosarcomas, suggesting that one of Twist's primary roles is the regulation of GLI1.",TP,database
11957139,p63,p53,"Although no statistical correlation was found between p53 and p63 or p73, p53-negative tumors overexpressed either p63 or p73.",TP,database
12049655,p40,p53,"In the present study, we demonstrate by Western-blot analysis that, in addition to the p53 protein, these molecules were able to induce the expression of a shorter protein with an apparent molecular mass of 40 kDa (p40), recognized by antibodies raised against the N-terminus of p53.",TP,database
12165851,GLI1,GLI2,"Detailed time course experiments monitoring the transcriptional response of keratinocytes either to GLI1 or to GLI2 suggest that GLI1 is a direct target of GLI2, while activation of GLI2 by GLI1 is likely to be indirect.",TP,database
12565816,c-Myc,Sp1,At this time it is not entirely clear which Sp1-containing promoters will be repressed by c-Myc and what other modes of c-Myc transcriptional repression may exist.,TP,database
12663663,IkappaBalpha,RelA,The data show that RelA regulation of NF-kappaB-IkappaBalpha complex formation is IkappaBalpha phosphorylation-dependent and that IkappaBalpha/NF-kappaB binding is dynamic and determined by concentration of the subunits.,TP,database
12684688,MAZ,Sp1,"Both Sp1 and MAZ inhibited the expression of the gene for MAZ, while expression of the gene for eNOS was enhanced by Sp1 and repressed by MAZ.",TP,database
12880968,p73,p53,Negative autoregulation of p73 and p53 by DeltaNp73 in regulating differentiation and survival of human neuroblastoma cells.,TP,database
12917626,p73,p53,"In this study, we adapted a yeast-based p53 functional assay for the analysis of the influences of different p53 mutants on the activity of one of the p73 isoforms, namely p73beta.",TP,database
12917626,p73,p53,We determined the ability of a panel of 61 p53 mutants to inhibit p73beta activity following the net transcription of the ADE2 color (red/white) reporter gene driven by a p53-responsive promoter.,TP,database
12934105,p73,p53,p73alpha expression induces both accumulation and activation of wt-p53 independent of the p73alpha transcriptional activity.,TP,database
12970737,SRY,WT1,"Wildtype WT1 is recruited to SRY-binding sites in an SRY-dependent manner, whereas DDS mutants are not recruited as efficiently.",TP,database
14513581,p53,c-myc,"The experimental study on telomerase activity and expression of p53 and c-myc genes in tongue cancer	OBJECTIVE: To study telomerase activity and expression of oncogenes c-myc and p53 in tongue cancer, analyse the interaction among them, and assess their possible correlations with tongue cancer clinicopathological features.",TP,database
14521756,PPARalpha,HIF-1alpha,"Influence of hypoxia on peroxisome proliferator activated receptor alpha and its mechanisms	OBJECTIVE: To study the expressions of peroxisome proliferator activated receptor alpha (PPAR-alpha) and hypoxia-inducible factor-1alpha (HIF-1alpha) during different hypoxia states in lung cancer cell A549, and to investigate the mechanism of HIF-1alpha induced PPARalpha expression.",TP,database
14531904,WT1,GATA-1,"In conclusion, PAX2, and possibly PAX8, appears to be a candidate for the upregulation of WT1 in a proportion of AML, whereas GATA-1 expression cannot be explained as an inducer of WT1.",TP,database
14602923,p73,E2F1,DNA damage induces transcriptional activation of p73 by removing C-EBPalpha repression on E2F1.	p73 is a member of the p53 family often overexpressed in human cancer.,TP,database
14602923,p73,E2F1,"Furthermore, by using different p73 promoter fragments, we found a role for E2F1 in mediating transcription of p73.",TP,database
14645238,MYCN,Sp1,"Our results define distinct chromatin states of the MYCN promoter, indicate that factors in addition to E2F and Sp1/Sp3 are required to activate MYCN in neuroblastomas, and provide evidence for a novel mechanism of controlling access of E2F to selected target genes",TP,database
14645238,MYCN,Sp3,"Our results define distinct chromatin states of the MYCN promoter, indicate that factors in addition to E2F and Sp1/Sp3 are required to activate MYCN in neuroblastomas, and provide evidence for a novel mechanism of controlling access of E2F to selected target genes",TP,database
14668346,IRF-7,IRF-3,Kaposi's sarcoma-associated herpesvirus-encoded vIRF-3 stimulates the transcriptional activity of cellular IRF-3 and IRF-7.,TP,database
15175043,GLI1,GLI2,These data suggest that GLI2 directly activates GLI1 and that retrovirally expressed GLI2 induces expression of endogenous GLI1 in human primary keratinocytes.,TP,database
15189119,RARbeta,RAR,"We then focus on a discussion of RARalpha and acute promyelocytic leukemia followed by a discussion of the role of RARs, in particular RARbeta expression, in other cancer types.",TP,database
15208653,c-Myc,USF,"In order to determine how these opposite functions correlate with the transcriptional activities of the two factors on particular downstream targets, we investigated the roles of USF and c-Myc in expression of CDK4, a known direct target of c-Myc.",TP,database
15210108,p53,YY1,"Importantly, the tumor suppressor p14ARF compromises the Hdm2-YY1 interaction, which is important for YY1 regulation of p53.",TP,database
15210108,p53,YY1,"Taken together, these findings identify YY1 as a potential cofactor for Hdm2 in the regulation of p53 homeostasis and suggest a possible role for YY1 in tumorigenesis",TP,database
15237589,p73,p53,"BACKGROUND: The recent discovery of two p53-related genes, p63 and p73, has revealed an additional level of complexity to the study of p53 function.",TP,database
15367686,ERalpha,FOXO3a,"Ectopic FOXO3a expression induced ERalpha protein levels and promoter activity, while a dominant negative FOXO3a decreased ERalpha levels.",TP,database
15450420,p73,E2F-1,"These pathways are related, for instance, p73 is also downstream of E2F-1, since E2F-1 induces p73-mediated apoptosis in the absence of p53.",TP,database
15509581,AP-1,Sp1,"The ability of ligands to modulate transcription of AP-1- or Sp1-containing promoters was dependent on cell context, but the expression of AP-1 or Sp1 proteins was not necessarily related to transcriptional response.",TP,database
15634666,p63,p53,"Most interestingly, when the p53DBD is replaced by the p63DBD, p53 is converted from a repressor working through the HT site to an activator working through the APE.",TP,database
15780936,p53,Sp1,HIF-1alpha displaces the transcriptional activator Myc from Sp1 binding to repress MutSalpha expression in a p53-dependent manner; Sp1 serves as a molecular switch by recruiting HIF-1alpha to the gene promoter under hypoxia.,TP,database
15808511,RARbeta,RAR,"We show that PARP-1 is indispensable to retinoic acid receptor (RAR)-mediated transcription from the RARbeta2 promoter in a highly purified, reconstituted transcription system and that RA-inducible expression of all RARbeta isoforms is abrogated in PARP-1(-/-) cells in vivo.",TP,database
15849742,p73,p53,"p53-Related genes, p73 and p63, encode 2 classes of proteins, TA-p73/p63 and DeltaN-p73/p63.",TP,database
15849742,p63,p53,"p53-Related genes, p73 and p63, encode 2 classes of proteins, TA-p73/p63 and DeltaN-p73/p63.",TP,database
15879363,DAX-1,SF-1,"Mutation of the SF-1-binding sites within the hACTH-R promoter resulted in reduced or abolished DAX-1 inhibition, arguing for a mechanism that involves SF-1 for DAX-1 inhibition.",TP,database
15919663,p73,p53,"This degradation-inducing property of TAp73 was inhibited only by p73 mutants that also inhibit the transactivation activity TAp73 but not by mutant p53, highlighting the specificity in the regulation of p73 stability.",TP,database
15923629,Mitf,CREB,"However, constitutively active CREB(DIEDML) without PKA activation is insufficient for Mitf expression and melanogenesis, indicating PKA regulates additional aspects of Mitf transcription.",TP,database
15944736,p63,p53,"Unlike p53, the expression of p63 is regulated by two different promoters resulting in proteins with opposite functions: the full-length transcriptionally active TAp63 and the dominant-negative DeltaNp63.",TP,database
15970683,p63,p53,"Recent work from our laboratory has determined that the p53 target gene Perp is required for the integrity of the stratified epithelia specified by p63, and that expression of Perp in these structures depends on the presence of p63.",TP,database
16087177,p73,ZEB,We also demonstrate that DNA methylation contributes to increased levels of p73 in FA-A cells by hampering the binding of the transcriptional repressor ZEB to an intronic regulatory region of the p73 gene.,TP,database
16169462,p53,MYC,"Acute MYC expression increases p53 or ARF levels and induces apoptosis, and previous transgenic animal studies revealed frequent inactivating mutations of p53 or p19ARF in transgenic Myc-induced lymphomas.",TP,database
16253247,REST,HES-1,"Moreover, using a cells model that overexpress HES-1 and a combination of experimental approaches, we demonstrated that HES-1 reduces endogenous REST expression.",TP,database
16288017,FRA1,Sp1,Syk interacts with transcription factor Sp1 at the Sp1 DNA-binding site in the FRA1 promoter to repress Sp1-activated FRA1 transcription.,TP,database
16298389,TAL-1,PU.1,"In summary, our study shows that PU.1, in addition to its positive role in TAL-1 expression in early hematopoietic progenitors, may also act as a mediator of TAL-1 silencing in some hematopoietic lineages",TP,database
16430884,p73,p53,"Over-expression of p53 suppressed the TAD-truncated p73alpha-mediated luciferase expression, suggesting that p53 interferes with the TAD-truncated p73alpha-mediated activation of NFkappaB.",TP,database
16455805,SHP,PXR,PXR concomitantly inhibits SHP gene transcription and maximizes the PXR induction of the CYP3A4 gene in human livers.,TP,database
16469747,p53,ERalpha,Knocking down p53 and ERalpha by small interfering RNA elicits opposite effects on p53-target gene expression and cell cycle progression.,TP,database
16651270,Gli,Gli2,Stable Gli2 mutant is expressed in higher levels and is more potent in the activation of Gli-dependent transcription as compared with wild type Gli2.,TP,database
16684540,p53,NF-kappaB,"These data suggest that NF-kappaB-dependency of the PAF-induced increase in VEGF expression is due to decreased p53 activity, which is reciprocally regulated by increased NF-kappaB activity.",TP,database
16835297,p73,p53,"Some of the compounds activate a p53 response by increasing p73 expression, and knockdown of transactivating isoforms of p73 by small interfering RNA reduces their induction of p53-responsive transcriptional activity.",TP,database
17138822,IRF-4,c-Rel,"Elevated expression of the putative c-Rel target, interferon regulatory factor-4 (IRF-4), was observed in 10 (91%) of 11 nonresponders and in all tested patients with c-Rel+ tumors and occurred in the absence of the HTLV-1 oncoprotein Tax.",TP,database
17287142,p63,p53,"The discovery of the p53-related genes p63 and p73 raised the possibility that they may be cancer-associated genes and as a consequence that p53 is not the only component in predicting prognosis and response to chemotherapy, but instead the status of a network that contains p53, p73 and p63.",TP,database
17334395,p63,p53,"The p53-related genes p63 and p73 exhibit significant structural homology to p53; however, they do not function as classical tumor suppressors and are rarely mutated in human cancers.",TP,database
17350616,ERalpha,Runx2,"Here, we investigate the role of Runx2 on the regulation of ERalpha expression by determining its interaction with the F promoter, one of the multiple promoters of the human ERalpha gene and the only one active in bone.",TP,database
17699779,p53,ERalpha,"Chromatin immunoprecipitation assays reveal that ERalpha interacts in vivo with p53 bound to promoters of Survivin and multidrug resistance gene 1, both targets for transcriptional repression by p53.",TP,database
17950909,c-fos,Elk1,"Furthermore, ERK2-induced PARP-1 activation dramatically amplifies ERK-signals, enhancing ERK-induced phosphorylation of the transcription factor Elk1 and enhancing core histone acetylation and expression of the Elk1 target gene, c-fos.",TP,database
18057099,Gli,Gli3,"In turn, Gli3, by acting as a transcriptional repressor, restricted graded Shh/Gli ventral activity to properly pattern the spinal cord.",TP,database
18094076,p53,c-Jun,"In KB-3 cells, which have compromised p53 function, and in p53-null cells but not in p53 wild-type cells, vinblastine caused down-regulation of p21 expression concomitant with increased c-Jun expression, suggesting a role for c-Jun in negative regulation of the p21 promoter independent of p53.",TP,database
18204072,IkappaBalpha,NFkappaB,"The NFkappaB system is activated at labour and stimulates the IkappaBalpha gene, but the NFkappaB factors do not drive PGHS-2 transcription using consensus promoter sites in normal term amnion in vivo",TP,database
18348649,TP63,TP53,"Unlike in TP53 gene, mutations in TP63 and TP73 genes are rare, however, germline mutations in TP63 are linked to the human developmental diseases.",TP,database
18422165,c-myc,c-fos,"RESULT: The rate of c-fos expressing cases was 15% and the rate of c-myc expressing cases was 20% in nasal polyps from topical steroid treated patients, but in untreated patients, the rate of c-fos expressing cases was 80% and the rate of c-myc expressing cases was 85%.",TP,database
