pmid,gene1,gene2,sentence,class,details
7576299,p53,Fos,These data suggest the possibility of down regulation of Fos expression by high levels of p53 protein.,TP,database
7605217,c-myc,c-fos,"Expression of c-fos was revealed in 79 of 138(59.4%) of proliferative and dysplastic changes of lung epithelium; c-jun in 40 of 61 (65.6%), c-ets-1 in 22 of 41 (53.7%), c-myc in 41 of 96(42.7%) and L-myc in 15 of 61 (24.6%), mainly in altered bronchial epithelium with a positive reaction to the antibodies against neuron specific enolase and S100 protein.",TP,database
7649977,p53,Sp1,"The presence of Sp1 increased p53 binding to its recognition sequence in the HIV-1 LTR, and experiments in Drosophila cells show that Sp1 is necessary for full transactivation by mutant p53.",TP,database
7677767,DAX-1,SF-1,This suggests that SF-1 may directly regulate the expression of DAX-1 and that these two transcription factors may be components of a cascade required for development of steroidogenic tissues.,TP,database
7678994,tal-1,GATA-1,"Altogether our results strongly suggest that GATA-1 modulates the transcription of tal-1 during the differentiation of the erythroid, megakaryocytic, and basosophilic lineages.",TP,database
7683227,c-myc,C-jun,This was temporally associated with a marked induction of C-jun expression but a significant repression in BCL-2 and c-myc expressions.,TP,database
7753559,c-myc,Sp1,"In addition, enforced expression of Sp3 repressed Sp1-mediated activation of c-myc.",TP,database
7753559,E2F-1,Sp3,In contrast enforced expression of Sp3 fails to repress E2F-1/DP-1-mediated activation,TP,database
7794791,c-myc,transcription factor E2F,A direct role of transcription factor E2F in c-myc gene expression during granulocytic and macrophage-like differentiation of HL60 cells.,TP,database
7843230,c-rel,NF-kappa B,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of p65 and c-rel, and new mRNA synthesis for c-rel and p105/p50.",TP,database
7926759,rel,NF-kappa B,"As documented in the accompanying paper (Klug et al., this issue), an active v-abl protein also suppresses the activity of NF-kappa B/rel and expression controlled by the kappa intron enhancer.",TP,database
7969121,p53,c-Myc,"Taken together, our findings support a direct role for c-Myc in elevating expression of the mutant p53 gene in some tumors",TP,database
7969121,p53,Max,Transactivation of the human p53 tumor suppressor gene by c-Myc/Max contributes to elevated mutant p53 expression in some tumors.,TP,database
7969121,p53,c-Myc,Transactivation of the human p53 tumor suppressor gene by c-Myc/Max contributes to elevated mutant p53 expression in some tumors.,TP,database
8051093,p53,NF-kappa B,"Thus, we show that NF-kappa B activates p53 and that this activation is inducible by TNF-alpha.",TP,database
8099529,c-myc,c-fos,"Expression of the c-fos protein was seen in 66% of the tumors; expression of the c-myc protein, in 50%; of the c-K-ras protein, in 16%; of the EGF-R protein, in 61%; and of the c-neu protein, in 54% of the tumors.",TP,database
8104920,p53,c-myc,"Amplification of c-erbB-2, c-myc, and int-2, and expression of RB, p53(mutant), and NDP kinase were determined in 77 primary breast cancer specimens.",TP,database
8152906,p53,c-myc,No down-regulation of c-myc was observed in p53 expressing clones when shifted to the permissive temperature.,TP,database
8203922,p53,c-myc,"Among the squamous cell carcinoma cases, there were one case (11%) of c-myc expression and one case (11%) of p53 expression.",TP,database
8246997,Rel,NF-kappa B,"Taken together with prior in vivo transcription studies, these results suggest that the biological activities of p65 and p50 homodimers are independently regulated, thereby providing an integrated and flexible control mechanism for the rapid activation and repression of NF-kappa B/Rel-directed gene expression",TP,database
8264230,p53,JUN,"CONCLUSIONS: We conclude that independent expression of RAS, JUN, and FOS occurred significantly more often in large tubulovillous adenomas and adenocarcinomas while p53 expression occurred primarily in adenocarcinomas.",TP,database
8266081,c-fos,Yin-Yang-1,"Yin-Yang-1 (YY1) regulates the transcription of many genes, including the oncogenes c-fos and c-myc.",TP,database
8266081,c-fos,YY1,"Yin-Yang-1 (YY1) regulates the transcription of many genes, including the oncogenes c-fos and c-myc.",TP,database
8352966,rel,NF-kappa B,Regulation of the NF-kappa B/rel transcription factor and I kappa B inhibitor system.,TP,database
8454856,Rel,NF-kappa B,The data demonstrate that the p50/p105 NF-kappa B gene is regulated by members of the NF-kappa B/Rel family and likely by other important transcription factors,TP,database
8460477,p53,c-Myc,"We conclude that c-Myc is regulated at the transcriptional level, whereas p53 is regulated at the post-translational level in adenovirus transformants",TP,database
8521821,p53,PAX5,We have identified a direct role for PAX5 in the control of p53 transcription.,TP,database
8524298,p53,c-Fos,The data suggest that c-Fos protein plays a causal role in the activation of apoptosis in a p53-dependent manner.,TP,database
8626793,MAZ,Sp1,"This result suggests that MAZ and Sp1 both participate in regulating expression from the serotonin 1a receptor gene promoter, and it raises the possibility that MAZ may act at a variety of promoters through the guanosine-cytosine-rich sequences generally thought to serve as binding sites for the Sp1 family of transcription factors.",TP,database
8649389,c-myc,CTCF,Mutational analysis of the P2-proximal CTCF binding site and transient-cotransfection experiments demonstrate that CTCF is a transcriptional repressor of the human c-myc gene.,TP,database
8649405,c-jun,Sp1,In vitro DNase I footprinting analysis with purified Sp1 and c-jun proteins showed that Sp1 binding could facilitate binding of c-jun.,TP,database
8683991,WT1,GATA-1,Previous studies of WT1 gene regulation showed that GATA-1 may regulate WT1 expression.,TP,database
8702238,p53,c-myc,"Analysis (subsequent to treatment) demonstrated that among the genes for which it was possible to detect expression, namely c-erb-B1, c-myc and p53, only the expression of the p53 gene varied significantly.",TP,database
8714126,p53,AP-1,Transcription factors C-EBP and AP-1 modulate the promotor activity of the regulatory region of human p53 gene,TP,database
8750149,p53,c-myc,CONCLUSION: We conclude that c-myc might induce p53 expression in human colorectal cancer and that wild-type but not mutant p53 might be involved in a negative feedback regulation of c-myc expression.,TP,database
8817002,p53,c-fos,"In this study we determined whether the repression of c-fos at M1 was downstream of the p53 or pRB-like ""arms"" of the M1 mechanism.",TP,database
8821986,p53,c-myc,"Positive expression of c-myc and p53 products in two cases of pulmonary sclerosing hemangioma	The c-myc and p53 genes are thought to be an oncogene and a tumor suppressor gene, respectively.",TP,database
8844723,c-myc,MAZ,The MAZ protein has been shown to be a transcription regulator of the c-myc protooncogene.,TP,database
8844723,c-myc,MAZ,These findings are consistent with the established role for MAZ in regulating c-myc gene expression.,TP,database
8845569,p53,c-myc,"The high levels of c-myc transcripts and protein could regulate myeloma cell proliferation and apoptotic death by controlling p53 expression and, through it, the expression of the Rb and BAX genes.",TP,database
8909793,c-myc,c-fos,"These signalling pathways, except that for bcl-2 pathway, appear to be mediated by multiple PTKs: p56lck is critical for the induction of the c-fos/c-jun genes, the activation of Syk PTKs results in the induction of the c-myc gene and Jak3 PTK is required for the induction of both c-fos and c-myc genes.",TP,database
8909793,c-myc,c-jun,"These signalling pathways, except that for bcl-2 pathway, appear to be mediated by multiple PTKs: p56lck is critical for the induction of the c-fos/c-jun genes, the activation of Syk PTKs results in the induction of the c-myc gene and Jak3 PTK is required for the induction of both c-fos and c-myc genes.",TP,database
8943844,p53,PAX-5,"When compared with six other DLCL cell lines lacking t(9;14)(p13;q32), the KIS-1 cell line showed an 11-fold overexpression of PAX-5 mRNA and a significantly reduced expression of the p53 gene, which is normally regulated by PAX-5.",TP,database
8961277,p53,c-Myc,c-Myc is capable of abrogating p53-induced G1 arrest by interfering with the inhibitory action of p21 on cyclin-dependent kinases.,TP,database
9020185,TAL1,GATA3,"In this context, we carried out preliminary evaluation of a potential role of the T cell-specific GATA-binding protein, GATA3, in the transcriptional activity of TAL1 and RBTN.",TP,database
9108200,p53,c-fos,"In other tissues, e.g. muscle and bone, c-fos was found together with p53, suggesting an antagonistic action of these proliferative and antiproliferative factors.",TP,database
9140044,c-Fos,CREB,"Activation of the adenylate cyclase-coupled V2R in LLC-PK1 cells induced phosphorylation of adenosine 3',5'-cyclic monophosphate (cAMP) responsive element binding protein (CREB) and expression of c-Fos.",TP,database
9174110,p53,c-myc,Northern blot analysis indicated that the c-myc overexpression is concomitant to DRB-induced DNA fragmentation and that the increased mp53 protein level was mainly a posttranscriptional event.,TP,database
9178767,WT1,PAX2,The overlap of PAX2 and WT1 expression in fetal kidney prompted us to determine whether PAX2 regulates the WT1 gene.,TP,database
9178767,WT1,PAX2,"These findings suggest that PAX2 is a tissue-specific modulator of WT1 expression, and is involved in cell growth control via WT1",TP,database
9225998,Rel,NF-kappa B,"In this article, we summarise recent studies demonstrating that (1) chronic HIV-1 infection of human myelomonoblastic PLB-985 cells leads to constitutive NF-kappa B activity, activated in part due to enhanced I kappa B alpha turnover and increased NF-kappa B/Rel production; (2) HTLV-1 Tax protein physically associates with the I kappa B alpha protein in vivo and in vitro and also mediates a 20- to 40-fold stimulation of NF-kappa B DNA binding activity mediated via an enhancement of NF-kappa B dimer formation; (3) casein kinase II phosphorylates I kappa B alpha at multiple sites in the C-terminal PEST domains and regulates I kappa B alpha function; (4) transdominant forms of I kappa B alpha, mutated in critical Ser or Thr residues required for inducer-mediated (S32A,S36A) and/or constitutive phosphorylation block HIV LTR trans-activation and also effectively inhibit HIV-1 multiplication in a single cycle infection model; and (5) the amino-terminal 55aa of I kappa B alpha (NIK) interacts with the human homologue of dynein light chain 1, a small 9-kDa human homologue of the dynein light chain protein involved in microtubule and cytoskeletal dynamics.",TP,database
9228081,RARbeta,RAR,"Activation of each of the endogenous RXR or RAR isoforms induces RARbeta gene expression, and blocks cellular proliferation.",TP,database
9232190,DAX1,SF1,"When cotransfected with 1550 bp of the DAX1 promoter, an SF1-containing expression vector increased the transcriptional activity of the DAX1 promoter by 4-fold.",TP,database
9294605,c-myc,MAZ,"In addition, an electrophoretic mobility shift assay (EMSA) with ME1a1 DNA as probe demonstrated that the kinetics of the DNA-binding activity of MAZ were closely correlated with the changes in the expression of CAT from the c-myc promoter/CAT gene during the differentiation of P19EC cells.",TP,database
9294605,c-myc,Myc-associated zinc finger protein,"To investigate whether MAZ (Myc-associated zinc finger protein) affects the expression of the c-myc gene during the retinoic acid-induced (RA-induced) neuroectodermal differentiation of P19 embryonal carcinoma (EC) cells, we introduced a CAT reporter construct, human c-myc promoter/CAT (pMyc2CAT), and a mutant CAT derivative that lacked an ME1a1 site (pMyc1CAT) into P19EC cells to monitor the promoter activity of the c-myc gene.",TP,database
9298807,p53,c-myc,Her-2/neu overexpression is not characteristic of this sequence; c-myc amplification/overexpression is common to both p53-associated sequences.,TP,database
9382844,c-fos,CREB,Cells with anchored PKAII exhibited a threefold higher level of nuclear catalytic subunit content and 4-10-fold greater increments in phosphorylation of a regulatory serine residue in cAMP response element binding protein (CREB) and in phosphoCREB-stimulated transcription of the c-fos gene.,TP,database
9417120,IkappaBalpha,RelA,Discrimination between RelA and RelB transcriptional regulation by a dominant negative mutant of IkappaBalpha.,TP,database
9500554,MITF,PAX3,These results provide evidence that PAX3 directly regulates MITF and suggest that the failure of this regulation due to PAX3 mutations causes the auditory-pigmentary symptoms in at least some individuals with WS1,TP,database
9570134,Mash1,HES1,"Conversely, null mutation of HES1 up-regulates Mash1 expression, accelerates neuronal differentiation, and causes severe defects of the brain and eyes.",TP,database
9570134,Mash1,HES1,"In contrast, another bHLH factor, HES1, which is expressed by neural precursor cells but not by neurons, represses Mash1 expression and antagonizes Mash1 activity in a dominant negative manner.",TP,database
9573251,IkappaBalpha,RelA,"Although IkappaBalpha was resynthesized within 30 min following recombinant human TNFalpha treatment due to a robust 25-fold increase of IkappaBalpha mRNA expression (the RelA:IkappaBalpha positive feedback loop), following pRSV infection, there was no reaccumulation of IkappaBalpha protein, as infected cells produced only a 3-fold increase in IkappaBalpha mRNA at 24 h, indicating the RelA:IkappaBalpha positive feedback loop was insufficient to restore control IkappaBalpha levels.",TP,database
9632756,p53,c-myc,Activation of c-myc gene expression by tumor-derived p53 mutants requires a discrete C-terminal domain.,TP,database
9642304,c-myc,c-fos,Induction of c-fos/c-myc expression by epidermal growth factor decreases with alteration of their gene binding proteins in senescent fibroblasts.,TP,database
9642304,c-myc,c-fos,METHODS: The c-fos/c-myc expression were analysed by Northern blot.,TP,database
9642304,c-myc,c-fos,OBJECTIVE: To observe the changes of proto-oncogene c-fos/c-myc expression and its relation to specific transcription factors in human senescent fibroblast after epidermal growth factor (EGF) addition.,TP,database
9674700,p53,c-Myc,"Among the target genes for c-Myc regulation are ECA39, p53, ornithine decarboxylase (ODC), alpha-prothymosin and Cdc25A.",TP,database
9703973,p73L,p53,"We have cloned a second human p53-related gene, termed p73L, which shows strong amino-acid similarity to p73.",TP,database
9727009,IkappaBalpha,NFkappaB,Nuclear factor kappaB (NFkappaB) is a ubiquitously expressed transcription factor that is regulated by the cytoplasmic inhibitor protein IkappaBalpha.,TP,database
9734357,c-fos,SAP-1,SAP-1 is a member of the Ets transcription factors and cooperates with SRF protein to activate transcription of the c-fos protooncogene.,TP,database
9774636,p53,Sp1,Sp1-mediated transcription of the Werner helicase gene is modulated by Rb and p53.,TP,database
9816266,p53,c-myc,The better prognosis seen in patients who overexpress c-myc was offset when c-myc overexpression was coupled with a point mutated p53 gene.,TP,database
9867825,FREAC-4,Ets-1,These results are compatible with the hypothesis that Ets-1 acts as an upstream regulator of FREAC-4 expression during kidney development,TP,database
9891077,p73,p53,"By cotransfecting p73alpha along with either p53 mutant and a p53-responsive reporter, we found that both R175H and R248W reduces the transcriptional activity of p73alpha.",TP,database
9916932,WT1,PAX2,We suggest that persistent expression of PAX2 is likely to result from the loss of WT1 dependent transcriptional repression and may participate in the pathological mechanisms leading to glomerular dysfunction.,TP,database
10037138,c-myc,CTCF,CTCF is a transcriptional repressor of the c-myc gene.,TP,database
10037186,p53,c-myc,"Suppression of c-myc using antisense oligodeoxynucleotides (in the absence of p53) was sufficient to trigger apoptosis in Tu-138 cells, raising the possibility that the reduction of c-myc may be involved in at least one of the cell death pathways mediated by p53.",TP,database
10080941,c-myc,Tcf4,"The elevated levels of Tcf4:beta-catenin result in increased transcription of genes, including c-myc, important for the growth of these tumor cells.",TP,database
10082525,p53,c-fos,Identification of c-fos as a specific target for transcriptional activation by p53 establishes a direct link between these two pivotal regulatory proteins and raises the possibility that c-fos contributes to some of the biological effects of p53,TP,database
10207112,p73,p53,"We could not detect significant inhibition of p53 functions by E4orf6, but a clear repression of the transcription activation by p73 by this Ad early protein was observed.",TP,database
10209447,p53,c-myc,There was no evidence to suggest that c-myc was modulated by upregulation of Bcl-2 or p53 inactivation/mutation.,TP,database
10220381,AP-1,Smad3,"Providing evidence for the importance of this interaction between Smad and Jun proteins, we demonstrate that Smad3 is required for the activation of concatamerized AP-1 sites in a reporter construct that has previously been characterized as unable to bind Smad proteins directly.",TP,database
10328240,RARbeta,RARalpha,"Sensitivity to 4HPR was increased in RARbeta-overexpressing clones, whereas it was slightly decreased in RARalpha transfectants (which had diminished RARbeta expression) and was unchanged in clones transfected with RARgamma.",TP,database
10344280,IkappaBalpha,NFkappaB,"The model used in this study was a human lymphoblastoid cell line in which a functional repression of the transcription factors NFkappaB was obtained by induction of overexpression of IkappaBalpha, a physiological inhibitor of NFkappaB.",TP,database
10344761,RAR-beta,RAR-alpha,"The expression of RAR-alpha and RAR-gamma remains positive in HEC specimens, but RAR-beta expression was detected in only 6 of 20 HEC specimens.",TP,database
10360378,WT1,GATA-1,"Using a sensitive, isotopic duplex RT-PCR procedure amplifying WT1 or GATA-1 together with beta-actin as the internal control in a single reaction mix, we quantitated the expression of WT1 and GATA-1 mRNA of 16 patients with myelodysplastic syndrome (MDS), 56 with acute myeloid leukemia (AML) and 22 with acute lymphoblastic leukemia (ALL).",TP,database
10361124,RAR,Sp1,"Furthermore, gel shift studies showed that the binding of Sp1 to the uPA GC box is significantly potentiated in the presence of RARs/RXRs.",TP,database
10371354,p73,p53,"Recently, a p53-related gene, termed p73, has been cloned and its gene product possesses a function similar to p53.",TP,database
10409681,IkappaBalpha,NFkappaB,"Activation of the transcription factor NFkappaB requires rapid degradation of its inhibitor, IkappaBalpha.",TP,database
10409739,PPARgamma,SREBP-2,The related transcription factor SREBP-2 likewise induced PPARgamma expression.,TP,database
10435630,p73,p53,"The p53-related gene product, p73, occurs as two distinct protein isoforms, referred to as alpha and beta, which differ in the length of the C-terminal region and arise through alternative splicing of the p73 RNA.",TP,database
10446902,DAX-1,SF-1,"With respect to implication of Ad4BP/SF-1 in the transcriptional regulation of the DAX-1 gene, inconsistent findings have been previously reported.",TP,database
10448092,c-myc,MAZ,"Moreover, the mutated MAZ was unable to enhance the expression of luciferase encoded by a c-myc promoter/luciferase reporter gene in HeLa cells in the presence of CKII.",TP,database
10469295,p73,p53,"The p53-like genes, p73 and the several KET splicing variants, are recently described genes of uncertain biologic and pathologic significance.",TP,database
10469295,KET,p53,"The p53-like genes, p73 and the several KET splicing variants, are recently described genes of uncertain biologic and pathologic significance.",TP,database
10536986,MITF,PAX3,"By analyzing the genes for Waardenburg syndrome, we showed that PAX3, the gene responsible for Waardenburg syndrome type 1, regulates MITF, the gene responsible for Waardenburg syndrome type 2.",TP,database
10574767,Gli1,Gli3,"Here, we have subjected the human proteins Gli1 and Gli3 to the precise and well-defined Hh signalling assay of Drosophila wing development and established that Gli1 functions as an activator and Gli3 as a repressor of Hh target genes; that the activating transcriptional activity of Gli1 and the repressing activity of Gli3 are both subject to Hh regulation in vivo; and that the combined activities of Gli1 and Gli3 can substitute for Ci in controlling Hh target gene expression during embryonic and larval development",TP,database
10602473,Myc,USF,"Although USF-1 and -2 are the major proteins that bind to Myc-regulated E-box (CACGTG) elements in many cells, there is no clear role for USF during Myc-dependent gene regulation.",TP,database
10629053,RARbeta,COUP-TF,"In a transient transfection assay, COUP-TF strongly induced transcriptional activity of the RARbeta promoter in a RA- and RARalpha-dependent manner.",TP,database
10629053,RARbeta,COUP-TF,"In addition, stable expression of COUP-TF in COUP-TF-negative cancer cells restores induction of RARbeta expression, growth inhibition, and apoptosis by RA, whereas inhibition of COUP-TF by expression of COUP-TF antisense RNA represses the RA effects.",TP,database
10629053,RARbeta,COUP-TF,"In this study, we provide evidence that orphan receptor COUP-TF is required for induction of RARbeta expression, growth inhibition, and apoptosis by RA in cancer cells.",TP,database
10629053,RARbeta,RARalpha,"These results demonstrate that COUP-TF, by serving as an accessory protein for RARalpha to induce RARbeta expression, plays a critical role in regulating the anticancer activities of retinoids",TP,database
10629053,RARbeta,COUP-TF,"These results demonstrate that COUP-TF, by serving as an accessory protein for RARalpha to induce RARbeta expression, plays a critical role in regulating the anticancer activities of retinoids",TP,database
10637430,p73,p53,"The p53-related genes, p51/p63 and p73, have been isolated respectively from cDNA libraries of skeletal muscle and the brain, and their structural features and biological functions have been compared.",TP,database
10637430,p51,p53,"The p53-related genes, p51/p63 and p73, have been isolated respectively from cDNA libraries of skeletal muscle and the brain, and their structural features and biological functions have been compared.",TP,database
10637430,p63,p53,"The p53-related genes, p51/p63 and p73, have been isolated respectively from cDNA libraries of skeletal muscle and the brain, and their structural features and biological functions have been compared.",TP,database
10639331,fra-1,c-fos,"Moreover, induction of c-fos resulted in the concomitant increase in the expression of fra-1 and c-jun, further highlighting the importance of AP-1 transcription factors in chondrocyte differentiation.",TP,database
10644012,MITF,Pax3,Pax3 transcription factor was reported earlier to regulate positively the melanocyte-specific promoter of the MITF gene.,TP,database
10644012,MITF,Pax3,"This suggests that additional factors, besides Pax3, are required for the MITF expression.",TP,database
10684280,Rel,NFkappaB,"To date, several approaches attempting to correlate Tax activation of the CREB/activating transcription factor (ATF) or NFkappaB/Rel transcriptional activation pathway to cellular transformation have yielded conflicting results.",TP,database
10698490,p53,NF-kappaB,A Western blot analysis of nuclear extracts demonstrated that NF-kappaB protein levels in the nuclei were suppressed by the transient expression of the wt-p53 in a dose-dependent manner.,TP,database
10739671,c-myb,IRF-1,"Together, these results are consistent with the existence of a functional relationship between IRF-1 and c-myb in which IRF-1 negatively regulates c-myb expression at the transcriptional level by a mechanism that may depend on the interaction of IRF-1 with a segment of the c-myb gene implicated in transcription pausing",TP,database
10761704,p73,p53,"Two p53-related genes, p73 and p51, were recently identified as structural homologues of the p53 tumor suppressor gene, suggesting that the roles of these two genes may be similar to those of p53, including growth suppression and induction of apoptosis.",TP,database
10761704,p51,p53,"Two p53-related genes, p73 and p51, were recently identified as structural homologues of the p53 tumor suppressor gene, suggesting that the roles of these two genes may be similar to those of p53, including growth suppression and induction of apoptosis.",TP,database
10766163,p53,ERalpha,Our results indicate that ERalpha protects p53 from being deactivated by hdm2.,TP,database
10773878,p73,p53,"In reminiscence of the dominant negative phenotype of the N-terminal truncated variants of another p53-related gene, p63, the expression of the truncated p73 variant form in ovarian tumors may play an important role in the pathogenesis of ovarian cancer",TP,database
10773878,p63,p53,"In reminiscence of the dominant negative phenotype of the N-terminal truncated variants of another p53-related gene, p63, the expression of the truncated p73 variant form in ovarian tumors may play an important role in the pathogenesis of ovarian cancer",TP,database
10774739,Mash1,Hes1,"Hes1 encodes a basic helix-loop-helix (bHLH) transcriptional repressor and functionally antagonizes positive bHLH genes such as the neuronal determination gene, Mash1.",TP,database
10779353,Myc,E2F1,"Based on these results and past experiments, it appears that the E2F1, E2F2, and E2F3a genes are similarly regulated by growth stimulation, involving a combination of E2F-dependent negative control and Myc-mediated positive control.",TP,database
10782404,RAR-gamma,RAR-alpha,These results suggest that partial loss and abnormal localization of RAR-alpha expression as well as increased RAR-gamma expression may play a role in the etiology of non-neoplastic epithelial disorders of the vulva,TP,database
10787423,p53,YY1,"Overexpression of YY1 reverses the repressive effect of p53, suggesting a functional antagonism between p53 and YY1.",TP,database
10822369,p53,c-Myc,c-Myc antagonizes the effect of p53 on apoptosis and p21WAF1 transactivation in K562 leukemia cells.,TP,database
10822369,p53,c-Myc,"Expression of c-Myc significantly attenuated apoptosis and impaired the transcriptional activity of p53 on p21WAF1, Bax and cytomegalovirus promoters.",TP,database
10871633,c-Jun,Smad3,"The repression obtained with a c-Jun mutant unable to activate transcription through AP-1 sites indicates that the inhibitory mechanism does not rely on the induction of a Smad3 repressor by c-Jun, suggesting that c-Jun could act as a Smad3 co-repressor.",TP,database
10884390,p73,p53,"Furthermore, p53His175 and p53Gly281 mutants markedly reduce the transcriptional activity of the various isoforms of p73.",TP,database
10906122,c-myc,CTCF,"Although expression of YB-1 alone had no effect, co-expression with CTCF resulted in a marked enhancement of CTCF-driven c-myc transcriptional repression.",TP,database
10924517,IRF-7,IRF-3,"Previous studies indicated that the virus-mediated transcription of type I interferon (IFN) genes required activation of two members of IFN regulatory factor (IRF) family, IRF-3 and IRF-7, where the expression of IRF-7 was found to be indispensable for the induction of IFNA genes.",TP,database
10938265,MITF,SOX10,"Finally, we show that three SOX10 mutations found in WS4 abolish the transcriptional activity of the resulting Sox10 proteins toward the MITF promoter.",TP,database
